age,gender,municipality,education_level,main_activity,income_decile,income_bracket,language_group
11,Males,Jyväskylä,5 Short-cycle tertiary education,Employed,VI,Medium,Finnish-speaking population
0,Females,Espoo,3 Upper secondary education,Persons outside the labour force,III,Low,Finnish-speaking population
0,Males,Kronoby,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Swedish-speaking population
69,Males,Helsinki,9 Basic education,Employed,X,High,Finnish-speaking population
61,Females,Korsholm,3 Upper secondary education,Labour force,IV,Medium,Swedish-speaking population
0,Females,Tornio,3-8 A post-comprehensive level qualification,Pensioners,IX,High,Finnish-speaking population
66,Males,Hämeenlinna,7 Master's or equivalent level,Employed,IX,High,Finnish-speaking population
0,Males,Espoo,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Joensuu,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
15,Females,Jyväskylä,7 Master's or equivalent level,Employed,III,Low,Finnish-speaking population
81,Females,Pihtipudas,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
2,Males,Mikkeli,5 Short-cycle tertiary education,Employed,I,Low,Finnish-speaking population
0,Females,Siilinjärvi,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
0,Males,Pirkkala,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Kontiolahti,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
0,Females,Tampere,6 Bachelor's or equivalent level,Employed,II,Low,Finnish-speaking population
77,Males,Helsinki,7 Master's or equivalent level,Labour force,II,Low,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
66,Females,Heinola,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Rautalampi,9 Basic education,"Students, pupils",VIII,High,Finnish-speaking population
20,Females,Kurikka,9 Basic education,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Lappeenranta,3 Upper secondary education,Persons outside the labour force,VI,Medium,Finnish-speaking population
23,Males,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
57,Females,Pyhäjoki,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
0,Females,Kuopio,6 Bachelor's or equivalent level,Employed,II,Low,Finnish-speaking population
2,Females,Kihniö,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
0,Females,Jyväskylä,3-8 A post-comprehensive level qualification,Employed,VII,Medium,Finnish-speaking population
0,Males,Oulu,5 Short-cycle tertiary education,Other persons outside the labour force,III,Low,Finnish-speaking population
60,Females,Kauniainen,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Swedish-speaking population
0,Males,Hausjärvi,3-8 A post-comprehensive level qualification,Pensioners,III,Low,Finnish-speaking population
46,Males,Helsinki,9 Basic education,Labour force,IX,High,Finnish-speaking population
0,Females,Vantaa,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Females,Uusikaupunki,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
0,Females,Pöytyä,3-8 A post-comprehensive level qualification,Persons outside the labour force,VII,Medium,Finnish-speaking population
36,Females,Janakkala,4 Post-secondary non-tertiary education,Employed,VIII,High,Finnish-speaking population
0,Males,Vantaa,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
0,Females,Siikainen,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Finnish-speaking population
66,Females,Rauma,3 Upper secondary education,Labour force,VII,Medium,Finnish-speaking population
32,Males,Kuopio,3 Upper secondary education,Pensioners,X,High,Finnish-speaking population
26,Females,Joensuu,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
0,Males,Helsinki,9 Basic education,Employed,IV,Medium,Finnish-speaking population
0,Females,Tyrnävä,3 Upper secondary education,Persons outside the labour force,V,Medium,Finnish-speaking population
50,Males,Kuopio,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
5,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
37,Females,Jyväskylä,9 Basic education,Employed,III,Low,Finnish-speaking population
0,Males,Nakkila,3-8 A post-comprehensive level qualification,Pensioners,V,Medium,Finnish-speaking population
28,Males,Helsinki,3-8 A post-comprehensive level qualification,Employed,VI,Medium,Finnish-speaking population
0,Males,Turku,6 Bachelor's or equivalent level,Employed,II,Low,Finnish-speaking population
2,Males,Sastamala,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
43,Males,Rauma,3-8 A post-comprehensive level qualification,Persons outside the labour force,VIII,High,Finnish-speaking population
61,Males,Kouvola,3 Upper secondary education,Pensioners,I,Low,Finnish-speaking population
0,Males,Oulu,7 Master's or equivalent level,Employed,IX,High,Finnish-speaking population
87,Females,Nokia,3-8 A post-comprehensive level qualification,Unemployed,X,High,Finnish-speaking population
0,Females,Pargas,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Swedish-speaking population
26,Males,Harjavalta,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
17,Males,Kotka,7 Master's or equivalent level,Persons outside the labour force,II,Low,Finnish-speaking population
53,Males,Espoo,5 Short-cycle tertiary education,0-14 years old,X,High,Finnish-speaking population
47,Females,Lapinlahti,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
65,Males,Kaarina,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
35,Females,Helsinki,9 Basic education,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Helsinki,6 Bachelor's or equivalent level,Persons outside the labour force,VII,Medium,Finnish-speaking population
74,Females,Nokia,9 Basic education,Employed,V,Medium,Finnish-speaking population
0,Females,Helsinki,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
14,Females,Valkeakoski,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
38,Females,Nivala,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
49,Females,Kangasala,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
0,Males,Nurmijärvi,6 Bachelor's or equivalent level,0-14 years old,VIII,High,Finnish-speaking population
0,Females,Espoo,3 Upper secondary education,Employed,IV,Medium,Finnish-speaking population
0,Males,Vantaa,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
77,Females,Lahti,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
71,Females,Siilinjärvi,9 Basic education,0-14 years old,V,Medium,Finnish-speaking population
0,Females,Hanko,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Lahti,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Laihia,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
0,Males,Vantaa,3 Upper secondary education,Employed,III,Low,Finnish-speaking population
8,Females,Mäntsälä,9 Basic education,Persons outside the labour force,II,Low,Finnish-speaking population
44,Females,Lahti,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
0,Females,Janakkala,3 Upper secondary education,Pensioners,II,Low,Finnish-speaking population
20,Males,Kaarina,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
14,Females,Lempäälä,3 Upper secondary education,Labour force,VII,Medium,Finnish-speaking population
63,Males,Kuopio,9 Basic education,Labour force,IX,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Pensioners,X,High,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
5,Females,Tuusula,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Unemployed,II,Low,Finnish-speaking population
0,Males,Mikkeli,3-8 A post-comprehensive level qualification,Unemployed,VIII,High,Finnish-speaking population
12,Males,Helsinki,7 Master's or equivalent level,Labour force,III,Low,Finnish-speaking population
62,Females,Pori,9 Basic education,Persons outside the labour force,I,Low,Finnish-speaking population
73,Males,Joensuu,7 Master's or equivalent level,"Students, pupils",IV,Medium,Finnish-speaking population
0,Females,Pieksämäki,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Females,Riihimäki,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
29,Females,Seinäjoki,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
66,Females,Helsinki,3 Upper secondary education,Employed,I,Low,Finnish-speaking population
0,Males,Vaasa,7 Master's or equivalent level,Labour force,VI,Medium,Finnish-speaking population
23,Males,Hämeenkyrö,3-8 A post-comprehensive level qualification,0-14 years old,VI,Medium,Finnish-speaking population
69,Males,Espoo,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
88,Females,Mikkeli,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
53,Females,Kempele,3 Upper secondary education,Employed,V,Medium,Finnish-speaking population
60,Males,Tampere,3-8 A post-comprehensive level qualification,0-14 years old,VIII,High,Finnish-speaking population
0,Females,Tampere,9 Basic education,0-14 years old,IV,Medium,Finnish-speaking population
77,Males,Jämsä,3-8 A post-comprehensive level qualification,Labour force,V,Medium,Finnish-speaking population
0,Males,Vantaa,3 Upper secondary education,Pensioners,VI,Medium,Finnish-speaking population
87,Females,Jyväskylä,6 Bachelor's or equivalent level,Employed,IV,Medium,Finnish-speaking population
18,Males,Laukaa,3 Upper secondary education,Employed,VI,Medium,Finnish-speaking population
0,Females,Imatra,3 Upper secondary education,Employed,II,Low,Finnish-speaking population
8,Males,Vantaa,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
62,Males,Helsinki,3 Upper secondary education,Pensioners,VII,Medium,Finnish-speaking population
7,Males,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,V,Medium,Finnish-speaking population
76,Males,Kristinestad,3-8 A post-comprehensive level qualification,Pensioners,II,Low,Finnish-speaking population
0,Males,Ylöjärvi,3-8 A post-comprehensive level qualification,Employed,VIII,High,Finnish-speaking population
69,Males,Turku,3-8 A post-comprehensive level qualification,Persons outside the labour force,IV,Medium,Finnish-speaking population
80,Males,Salo,3 Upper secondary education,Persons outside the labour force,VII,Medium,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Females,Turku,3-8 A post-comprehensive level qualification,Labour force,I,Low,Finnish-speaking population
40,Females,Lempäälä,7 Master's or equivalent level,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Jämsä,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
0,Females,Seinäjoki,3-8 A post-comprehensive level qualification,Persons outside the labour force,III,Low,Finnish-speaking population
33,Males,Pielavesi,3-8 A post-comprehensive level qualification,Employed,IV,Medium,Finnish-speaking population
60,Females,Kerava,6 Bachelor's or equivalent level,Persons outside the labour force,IV,Medium,Finnish-speaking population
0,Males,Helsinki,7 Master's or equivalent level,0-14 years old,VII,Medium,Finnish-speaking population
0,Males,Salo,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Jakobstad,9 Basic education,"Students, pupils",V,Medium,Swedish-speaking population
14,Females,Vantaa,7 Master's or equivalent level,Labour force,IX,High,Finnish-speaking population
1,Females,Hämeenlinna,3 Upper secondary education,Labour force,IV,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,IV,Medium,Finnish-speaking population
0,Males,Tampere,6 Bachelor's or equivalent level,Employed,X,High,Finnish-speaking population
44,Females,Helsinki,3-8 A post-comprehensive level qualification,0-14 years old,III,Low,Finnish-speaking population
36,Females,Helsinki,6 Bachelor's or equivalent level,0-14 years old,VI,Medium,Finnish-speaking population
90,Females,Nykarleby,3-8 A post-comprehensive level qualification,0-14 years old,IV,Medium,Swedish-speaking population
27,Males,Turku,3 Upper secondary education,Labour force,VII,Medium,Finnish-speaking population
1,Females,Helsinki,5 Short-cycle tertiary education,0-14 years old,II,Low,Finnish-speaking population
0,Males,Jyväskylä,9 Basic education,0-14 years old,I,Low,Finnish-speaking population
12,Females,Seinäjoki,5 Short-cycle tertiary education,Persons outside the labour force,II,Low,Finnish-speaking population
0,Females,Varkaus,3-8 A post-comprehensive level qualification,0-14 years old,V,Medium,Finnish-speaking population
44,Females,Lappeenranta,6 Bachelor's or equivalent level,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Helsinki,9 Basic education,0-14 years old,X,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Unemployed,X,High,Finnish-speaking population
0,Females,Hyvinkää,6 Bachelor's or equivalent level,Labour force,I,Low,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Other persons outside the labour force,X,High,Finnish-speaking population
58,Males,Pori,9 Basic education,Labour force,III,Low,Finnish-speaking population
43,Males,Helsinki,3-8 A post-comprehensive level qualification,Labour force,VII,Medium,Finnish-speaking population
0,Females,Lappeenranta,3 Upper secondary education,Labour force,II,Low,Finnish-speaking population
0,Males,Punkalaidun,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Finnish-speaking population
0,Females,Nivala,5 Short-cycle tertiary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
23,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
38,Females,Tampere,3-8 A post-comprehensive level qualification,Pensioners,VII,Medium,Finnish-speaking population
51,Males,Rauma,9 Basic education,Labour force,V,Medium,Finnish-speaking population
0,Females,Rovaniemi,3-8 A post-comprehensive level qualification,Labour force,X,High,Finnish-speaking population
0,Females,Helsinki,3 Upper secondary education,Pensioners,VIII,High,Finnish-speaking population
66,Males,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Males,Vantaa,6 Bachelor's or equivalent level,Labour force,III,Low,Finnish-speaking population
0,Females,Kokkola,5 Short-cycle tertiary education,Labour force,IX,High,Finnish-speaking population
0,Males,Jyväskylä,3-8 A post-comprehensive level qualification,Labour force,IX,High,Finnish-speaking population
0,Females,Lahti,3 Upper secondary education,Employed,V,Medium,Finnish-speaking population
0,Females,Pirkkala,3 Upper secondary education,0-14 years old,I,Low,Finnish-speaking population
0,Males,Vantaa,6 Bachelor's or equivalent level,"Students, pupils",III,Low,Finnish-speaking population
0,Males,Juuka,9 Basic education,Persons outside the labour force,IX,High,Finnish-speaking population
69,Males,Valkeakoski,3-8 A post-comprehensive level qualification,Employed,V,Medium,Finnish-speaking population
0,Males,Espoo,9 Basic education,Employed,IV,Medium,Finnish-speaking population
0,Females,Mikkeli,3-8 A post-comprehensive level qualification,Employed,X,High,Finnish-speaking population
0,Males,Oulu,3 Upper secondary education,Employed,IV,Medium,Finnish-speaking population
29,Females,Helsinki,3 Upper secondary education,Persons outside the labour force,VIII,High,Finnish-speaking population
68,Females,Helsinki,3-8 A post-comprehensive level qualification,Employed,I,Low,Finnish-speaking population
63,Females,Kotka,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
39,Males,Vantaa,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
64,Males,Nurmijärvi,5 Short-cycle tertiary education,Labour force,IV,Medium,Finnish-speaking population
0,Females,Vantaa,5 Short-cycle tertiary education,Employed,V,Medium,Finnish-speaking population
24,Females,Tampere,3 Upper secondary education,Persons outside the labour force,X,High,Finnish-speaking population
47,Males,Kuusamo,3-8 A post-comprehensive level qualification,Employed,II,Low,Finnish-speaking population
64,Females,Simo,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
0,Females,Espoo,9 Basic education,Employed,IX,High,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Unemployed,VIII,High,Finnish-speaking population
76,Females,Suomussalmi,3 Upper secondary education,Labour force,III,Low,Finnish-speaking population
0,Males,Hämeenlinna,9 Basic education,Labour force,VIII,High,Finnish-speaking population
0,Females,Liperi,3 Upper secondary education,Pensioners,IV,Medium,Finnish-speaking population
7,Females,Oulainen,9 Basic education,Persons outside the labour force,VIII,High,Finnish-speaking population
0,Males,Turku,7 Master's or equivalent level,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Males,Orimattila,9 Basic education,Employed,V,Medium,Finnish-speaking population
0,Males,Kotka,5 Short-cycle tertiary education,Labour force,I,Low,Finnish-speaking population
73,Females,Kerava,6 Bachelor's or equivalent level,Employed,IX,High,Finnish-speaking population
0,Males,Kouvola,6 Bachelor's or equivalent level,Persons outside the labour force,III,Low,Finnish-speaking population
0,Females,Pargas,9 Basic education,Persons outside the labour force,VI,Medium,Swedish-speaking population
0,Females,Turku,3 Upper secondary education,Labour force,VIII,High,Finnish-speaking population
0,Males,Kuopio,6 Bachelor's or equivalent level,Labour force,I,Low,Finnish-speaking population
0,Females,Iisalmi,3-8 A post-comprehensive level qualification,Labour force,VIII,High,Finnish-speaking population
24,Females,Hämeenlinna,7 Master's or equivalent level,Persons outside the labour force,X,High,Finnish-speaking population
16,Females,Salo,3 Upper secondary education,Employed,III,Low,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Unemployed,VII,Medium,Finnish-speaking population
0,Females,Helsinki,3-8 A post-comprehensive level qualification,Other persons outside the labour force,VII,Medium,Finnish-speaking population
0,Males,Espoo,9 Basic education,Labour force,II,Low,Finnish-speaking population
13,Females,Nurmijärvi,3 Upper secondary education,Persons outside the labour force,IV,Medium,Finnish-speaking population
70,Females,Helsinki,3 Upper secondary education,Employed,II,Low,Finnish-speaking population
0,Males,Tampere,9 Basic education,0-14 years old,II,Low,Finnish-speaking population
0,Males,Jyväskylä,3 Upper secondary education,Labour force,IX,High,Finnish-speaking population
76,Females,Helsinki,3-8 A post-comprehensive level qualification,Persons outside the labour force,IX,High,Finnish-speaking population
23,Females,Vaasa,3 Upper secondary education,Employed,IX,High,Finnish-speaking population
76,Females,Helsinki,5 Short-cycle tertiary education,Labour force,II,Low,Finnish-speaking population
32,Males,Joroinen,3 Upper secondary education,Persons outside the labour force,I,Low,Finnish-speaking population
48,Females,Helsinki,3-8 A post-comprehensive level qualification,Pensioners,V,Medium,Finnish-speaking population
0,Males,Helsinki,9 Basic education,Labour force,VI,Medium,Finnish-speaking population
0,Females,Espoo,9 Basic education,Persons outside the labour force,VI,Medium,Finnish-speaking population
0,Females,Espoo,7 Master's or equivalent level,Employed,X,High,Finnish-speaking population
0,Males,Helsinki,3 Upper secondary education,Pensioners,II,Low,Finnish-speaking population
0,Females,Espoo,9 Basic education,Employed,III,Low,Finnish-speaking population
40,Females,Nurmijärvi,3-8 A post-comprehensive level qualification,Employed,IX,High,Finnish-speaking population
42,Females,Pori,5 Short-cycle tertiary education,Persons outside the labour force,IX,High,Finnish-speaking population
0,Males,Kiuruvesi,3-8 A post-comprehensive level qualification,Labour force,VI,Medium,Finnish-speaking population
0,Females,Jämsä,3 Upper secondary education,Unemployed,V,Medium,Finnish-speaking population
15,Males,Lappeenranta,3-8 A post-comprehensive level qualification,Persons outside the labour force,VI,Medium,Finnish-speaking population
43,Females,Turku,7 Master's or equivalent level,Persons outside the labour force,X,High,Finnish-speaking population
83,Females,Teuva,3-8 A post-comprehensive level qualification,Pensioners,VIII,High,Finnish-speaking population
0,Females,Espoo,3-8 A post-comprehensive level qualification,0-14 years old,IX,High,Swedish-speaking population
0,Females,Helsinki,7 Master's or equivalent level,Employed,III,Low,Finnish-speaking population
0,Females,Hämeenlinna,3-8 A post-comprehensive level qualification,Labour force,III,Low,Finnish-speaking population
0,Females,Iisalmi,7 Master's or equivalent level,Employed,III,Low,Finnish-speaking population
0,Males,Mäntsälä,3-8 A post-comprehensive level qualification,"Students, pupils",VII,Medium,Finnish-speaking population
73,Females,Kotka,9 Basic education,Labour force,VIII,High,Finnish-speaking population
0,Males,Espoo,3-8 A post-comprehensive level qualification,Persons outside the labour force,X,High,Swedish-speaking population
0,Males,Kerava,3 Upper secondary education,0-14 years old,VII,Medium,Finnish-speaking population
0,Males,Lieksa,3-8 A post-comprehensive level qualification,"Students, pupils",IX,High,Finnish-speaking population
70,Females,Helsinki,7 Master's or equivalent level,Pensioners,VI,Medium,Finnish-speaking population
0,Males,Tampere,3-8 A post-comprehensive level qualification,Pensioners,IV,Medium,Finnish-speaking population
71,Females,Espoo,9 Basic education,"Students, pupils",X,High,Finnish-speaking population
79,Males,Valkeakoski,3-8 A post-comprehensive level qualification,Other persons outside the labour force,V,Medium,Finnish-speaking population
0,Females,Helsinki,9 Basic education,Employed,II,Low,Finnish-speaking population
0,Females,Tampere,3-8 A post-comprehensive level qualification,Persons outside the labour force,VII,Medium,Finnish-speaking population
50,Males,Ulvila,3 Upper secondary education,Labour force,VI,Medium,Finnish-speaking population
