Area,Activity,value
Brändö,"Students, pupils",20.0
Brändö,"Conscripts, persons in non-military service",0.0
Brändö,Pensioners,146.0
Brändö,Other persons outside the labour force,13.0
Eckerö,Total,956.0
Eckerö,Labour force,459.0
Eckerö,Employed,434.0
Eckerö,Unemployed,25.0
Eckerö,Persons outside the labour force,497.0
Eckerö,0-14 years old,137.0
Eckerö,"Students, pupils",46.0
Eckerö,"Conscripts, persons in non-military service",0.0
Eckerö,Pensioners,268.0
Eckerö,Other persons outside the labour force,46.0
Enonkoski,Total,1288.0
Enonkoski,Labour force,499.0
Enonkoski,Employed,437.0
Enonkoski,Unemployed,62.0
Enonkoski,Persons outside the labour force,789.0
Enonkoski,0-14 years old,157.0
Enonkoski,"Students, pupils",47.0
Enonkoski,"Conscripts, persons in non-military service",2.0
Enonkoski,Pensioners,544.0
Enonkoski,Other persons outside the labour force,39.0
Enontekiö,Total,1762.0
Enontekiö,Labour force,860.0
Enontekiö,Employed,772.0
Enontekiö,Unemployed,88.0
Enontekiö,Persons outside the labour force,902.0
Enontekiö,0-14 years old,194.0
Enontekiö,"Students, pupils",80.0
Enontekiö,"Conscripts, persons in non-military service",1.0
Enontekiö,Pensioners,582.0
Enontekiö,Other persons outside the labour force,45.0
Espoo,Total,320931.0
Espoo,Labour force,168556.0
Espoo,Employed,151301.0
Espoo,Unemployed,17255.0
Espoo,Persons outside the labour force,152375.0
Espoo,0-14 years old,56170.0
Espoo,"Students, pupils",30090.0
Espoo,"Conscripts, persons in non-military service",449.0
Espoo,Pensioners,51217.0
Espoo,Other persons outside the labour force,14449.0
Eura,Total,11084.0
Eura,Labour force,5079.0
Eura,Employed,4691.0
Eura,Unemployed,388.0
Eura,Persons outside the labour force,6005.0
Eura,0-14 years old,1563.0
Eura,"Students, pupils",583.0
Eura,"Conscripts, persons in non-military service",13.0
Eura,Pensioners,3605.0
Eura,Other persons outside the labour force,241.0
Eurajoki,Total,9052.0
Eurajoki,Labour force,4167.0
Eurajoki,Employed,3851.0
Eurajoki,Unemployed,316.0
Eurajoki,Persons outside the labour force,4885.0
Eurajoki,0-14 years old,1368.0
Eurajoki,"Students, pupils",553.0
Eurajoki,"Conscripts, persons in non-military service",7.0
Eurajoki,Pensioners,2695.0
Eurajoki,Other persons outside the labour force,262.0
Evijärvi,Total,2272.0
Evijärvi,Labour force,997.0
Evijärvi,Employed,941.0
Evijärvi,Unemployed,56.0
Evijärvi,Persons outside the labour force,1275.0
Evijärvi,0-14 years old,340.0
Evijärvi,"Students, pupils",113.0
Evijärvi,"Conscripts, persons in non-military service",3.0
Evijärvi,Pensioners,770.0
Evijärvi,Other persons outside the labour force,49.0
Finström,Total,2617.0
Finström,Labour force,1340.0
Finström,Employed,1291.0
Finström,Unemployed,49.0
Finström,Persons outside the labour force,1277.0
Finström,0-14 years old,430.0
Finström,"Students, pupils",134.0
Finström,"Conscripts, persons in non-military service",0.0
Finström,Pensioners,619.0
Finström,Other persons outside the labour force,94.0
Forssa,Total,16478.0
Forssa,Labour force,6936.0
Forssa,Employed,5983.0
Forssa,Unemployed,953.0
Forssa,Persons outside the labour force,9542.0
Forssa,0-14 years old,1778.0
Forssa,"Students, pupils",1199.0
Forssa,"Conscripts, persons in non-military service",32.0
Forssa,Pensioners,5985.0
Forssa,Other persons outside the labour force,548.0
Föglö,Total,502.0
Föglö,Labour force,235.0
Föglö,Employed,229.0
Föglö,Unemployed,6.0
Föglö,Persons outside the labour force,267.0
Föglö,0-14 years old,76.0
Föglö,"Students, pupils",18.0
Föglö,"Conscripts, persons in non-military service",1.0
Föglö,Pensioners,152.0
Föglö,Other persons outside the labour force,20.0
Geta,Total,514.0
Geta,Labour force,246.0
Geta,Employed,235.0
Geta,Unemployed,11.0
Geta,Persons outside the labour force,268.0
Geta,0-14 years old,84.0
Geta,"Students, pupils",21.0
Geta,"Conscripts, persons in non-military service",0.0
Geta,Pensioners,131.0
Geta,Other persons outside the labour force,32.0
Haapajärvi,Total,6492.0
Haapajärvi,Labour force,2773.0
Haapajärvi,Employed,2431.0
Haapajärvi,Unemployed,342.0
Haapajärvi,Persons outside the labour force,3719.0
Haapajärvi,0-14 years old,1068.0
Haapajärvi,"Students, pupils",417.0
Haapajärvi,"Conscripts, persons in non-military service",10.0
Haapajärvi,Pensioners,2071.0
Haapajärvi,Other persons outside the labour force,153.0
Haapavesi,Total,6365.0
Haapavesi,Labour force,2711.0
Haapavesi,Employed,2420.0
Haapavesi,Unemployed,291.0
Haapavesi,Persons outside the labour force,3654.0
Haapavesi,0-14 years old,1171.0
Haapavesi,"Students, pupils",433.0
Haapavesi,"Conscripts, persons in non-military service",7.0
Haapavesi,Pensioners,1893.0
Haapavesi,Other persons outside the labour force,150.0
Hailuoto,Total,927.0
Hailuoto,Labour force,372.0
Hailuoto,Employed,327.0
Hailuoto,Unemployed,45.0
Hailuoto,Persons outside the labour force,555.0
Hailuoto,0-14 years old,103.0
Hailuoto,"Students, pupils",36.0
Hailuoto,"Conscripts, persons in non-military service",1.0
Hailuoto,Pensioners,400.0
Hailuoto,Other persons outside the labour force,15.0
Halsua,Total,985.0
Halsua,Labour force,411.0
Halsua,Employed,374.0
Halsua,Unemployed,37.0
Halsua,Persons outside the labour force,574.0
Halsua,0-14 years old,133.0
Halsua,"Students, pupils",45.0
Halsua,"Conscripts, persons in non-military service",0.0
Halsua,Pensioners,386.0
Halsua,Other persons outside the labour force,10.0
Hamina,Total,19311.0
Hamina,Labour force,8550.0
Hamina,Employed,7325.0
Hamina,Unemployed,1225.0
Hamina,Persons outside the labour force,10761.0
Hamina,0-14 years old,2246.0
Hamina,"Students, pupils",1060.0
Hamina,"Conscripts, persons in non-military service",36.0
Hamina,Pensioners,6834.0
Hamina,Other persons outside the labour force,585.0
Hammarland,Total,1636.0
Hammarland,Labour force,851.0
Hammarland,Employed,810.0
Hammarland,Unemployed,41.0
Hammarland,Persons outside the labour force,785.0
Hammarland,0-14 years old,263.0
Hammarland,"Students, pupils",87.0
Hammarland,"Conscripts, persons in non-military service",0.0
Hammarland,Pensioners,381.0
Hammarland,Other persons outside the labour force,54.0
Hankasalmi,Total,4509.0
Hankasalmi,Labour force,1873.0
Hankasalmi,Employed,1633.0
Hankasalmi,Unemployed,240.0
Hankasalmi,Persons outside the labour force,2636.0
Hankasalmi,0-14 years old,558.0
Hankasalmi,"Students, pupils",260.0
Hankasalmi,"Conscripts, persons in non-military service",0.0
Hankasalmi,Pensioners,1721.0
Hankasalmi,Other persons outside the labour force,97.0
Hanko,Total,7702.0
Hanko,Labour force,3476.0
Hanko,Employed,3109.0
Hanko,Unemployed,367.0
Hanko,Persons outside the labour force,4226.0
Hanko,0-14 years old,797.0
Hanko,"Students, pupils",361.0
Hanko,"Conscripts, persons in non-military service",7.0
Hanko,Pensioners,2850.0
Hanko,Other persons outside the labour force,211.0
Harjavalta,Total,6647.0
Harjavalta,Labour force,2779.0
Harjavalta,Employed,2432.0
Harjavalta,Unemployed,347.0
Harjavalta,Persons outside the labour force,3868.0
Harjavalta,0-14 years old,863.0
Harjavalta,"Students, pupils",338.0
Harjavalta,"Conscripts, persons in non-military service",9.0
Harjavalta,Pensioners,2461.0
Harjavalta,Other persons outside the labour force,197.0
Hartola,Total,2482.0
Hartola,Labour force,942.0
Hartola,Employed,813.0
Hartola,Unemployed,129.0
Hartola,Persons outside the labour force,1540.0
Hartola,0-14 years old,236.0
Hartola,"Students, pupils",68.0
Hartola,"Conscripts, persons in non-military service",1.0
Hartola,Pensioners,1169.0
Hartola,Other persons outside the labour force,66.0
Hattula,Total,9361.0
Hattula,Labour force,4549.0
Hattula,Employed,4202.0
Hattula,Unemployed,347.0
Hattula,Persons outside the labour force,4812.0
Hattula,0-14 years old,1479.0
Hattula,"Students, pupils",622.0
Hattula,"Conscripts, persons in non-military service",20.0
Hattula,Pensioners,2520.0
Hattula,Other persons outside the labour force,171.0
Hausjärvi,Total,7901.0
Hausjärvi,Labour force,3829.0
Hausjärvi,Employed,3503.0
Hausjärvi,Unemployed,326.0
Hausjärvi,Persons outside the labour force,4072.0
Hausjärvi,0-14 years old,1187.0
Hausjärvi,"Students, pupils",489.0
Hausjärvi,"Conscripts, persons in non-military service",17.0
Hausjärvi,Pensioners,2174.0
Hausjärvi,Other persons outside the labour force,205.0
Heinola,Total,17829.0
Heinola,Labour force,7307.0
Heinola,Employed,6051.0
Heinola,Unemployed,1256.0
Heinola,Persons outside the labour force,10522.0
Heinola,0-14 years old,1747.0
Heinola,"Students, pupils",898.0
Heinola,"Conscripts, persons in non-military service",38.0
Heinola,Pensioners,7323.0
Heinola,Other persons outside the labour force,516.0
Heinävesi,Total,2929.0
Heinävesi,Labour force,1080.0
Heinävesi,Employed,942.0
Heinävesi,Unemployed,138.0
Heinävesi,Persons outside the labour force,1849.0
Heinävesi,0-14 years old,247.0
Heinävesi,"Students, pupils",117.0
Heinävesi,"Conscripts, persons in non-military service",1.0
Heinävesi,Pensioners,1403.0
Heinävesi,Other persons outside the labour force,81.0
Helsinki,Total,684018.0
Helsinki,Labour force,370847.0
Helsinki,Employed,326112.0
Helsinki,Unemployed,44735.0
Helsinki,Persons outside the labour force,313171.0
Helsinki,0-14 years old,95775.0
Helsinki,"Students, pupils",59183.0
Helsinki,"Conscripts, persons in non-military service",859.0
Helsinki,Pensioners,127213.0
Helsinki,Other persons outside the labour force,30141.0
Hirvensalmi,Total,2059.0
Hirvensalmi,Labour force,836.0
Hirvensalmi,Employed,740.0
Hirvensalmi,Unemployed,96.0
Hirvensalmi,Persons outside the labour force,1223.0
Hirvensalmi,0-14 years old,207.0
Hirvensalmi,"Students, pupils",71.0
Hirvensalmi,"Conscripts, persons in non-military service",1.0
Hirvensalmi,Pensioners,899.0
Hirvensalmi,Other persons outside the labour force,45.0
Hollola,Total,22849.0
Hollola,Labour force,10460.0
Hollola,Employed,9471.0
Hollola,Unemployed,989.0
Hollola,Persons outside the labour force,12389.0
Hollola,0-14 years old,3623.0
Hollola,"Students, pupils",1461.0
Hollola,"Conscripts, persons in non-military service",44.0
Hollola,Pensioners,6745.0
Hollola,Other persons outside the labour force,516.0
Huittinen,Total,9555.0
Huittinen,Labour force,4293.0
Huittinen,Employed,3913.0
Huittinen,Unemployed,380.0
Huittinen,Persons outside the labour force,5262.0
Huittinen,0-14 years old,1241.0
Huittinen,"Students, pupils",513.0
Huittinen,"Conscripts, persons in non-military service",15.0
Huittinen,Pensioners,3250.0
Huittinen,Other persons outside the labour force,243.0
Humppila,Total,2094.0
Humppila,Labour force,929.0
Humppila,Employed,833.0
Humppila,Unemployed,96.0
Humppila,Persons outside the labour force,1165.0
Humppila,0-14 years old,255.0
Humppila,"Students, pupils",109.0
Humppila,"Conscripts, persons in non-military service",4.0
Humppila,Pensioners,736.0
Humppila,Other persons outside the labour force,61.0
Hyrynsalmi,Total,2002.0
Hyrynsalmi,Labour force,708.0
Hyrynsalmi,Employed,613.0
Hyrynsalmi,Unemployed,95.0
Hyrynsalmi,Persons outside the labour force,1294.0
Hyrynsalmi,0-14 years old,171.0
Hyrynsalmi,"Students, pupils",64.0
Hyrynsalmi,"Conscripts, persons in non-military service",0.0
Hyrynsalmi,Pensioners,1020.0
Hyrynsalmi,Other persons outside the labour force,39.0
Hyvinkää,Total,47031.0
Hyvinkää,Labour force,23406.0
Hyvinkää,Employed,20763.0
Hyvinkää,Unemployed,2643.0
Hyvinkää,Persons outside the labour force,23625.0
Hyvinkää,0-14 years old,6597.0
Hyvinkää,"Students, pupils",3180.0
Hyvinkää,"Conscripts, persons in non-military service",47.0
Hyvinkää,Pensioners,12483.0
Hyvinkää,Other persons outside the labour force,1318.0
Hämeenkyrö,Total,10348.0
Hämeenkyrö,Labour force,4807.0
Hämeenkyrö,Employed,4219.0
Hämeenkyrö,Unemployed,588.0
Hämeenkyrö,Persons outside the labour force,5541.0
Hämeenkyrö,0-14 years old,1662.0
Hämeenkyrö,"Students, pupils",627.0
Hämeenkyrö,"Conscripts, persons in non-military service",9.0
Hämeenkyrö,Pensioners,2980.0
Hämeenkyrö,Other persons outside the labour force,263.0
Hämeenlinna,Total,68433.0
Hämeenlinna,Labour force,31956.0
Hämeenlinna,Employed,28228.0
Hämeenlinna,Unemployed,3728.0
Hämeenlinna,Persons outside the labour force,36477.0
Hämeenlinna,0-14 years old,9272.0
Hämeenlinna,"Students, pupils",5013.0
Hämeenlinna,"Conscripts, persons in non-military service",91.0
Hämeenlinna,Pensioners,20307.0
Hämeenlinna,Other persons outside the labour force,1794.0
Ii,Total,9806.0
Ii,Labour force,4322.0
Ii,Employed,3690.0
Ii,Unemployed,632.0
Ii,Persons outside the labour force,5484.0
Ii,0-14 years old,2003.0
Ii,"Students, pupils",677.0
Ii,"Conscripts, persons in non-military service",15.0
Ii,Pensioners,2610.0
Ii,Other persons outside the labour force,179.0
Iisalmi,Total,20463.0
Iisalmi,Labour force,9047.0
Iisalmi,Employed,7758.0
Iisalmi,Unemployed,1289.0
Iisalmi,Persons outside the labour force,11416.0
Iisalmi,0-14 years old,2787.0
Iisalmi,"Students, pupils",1306.0
Iisalmi,"Conscripts, persons in non-military service",26.0
Iisalmi,Pensioners,6812.0
Iisalmi,Other persons outside the labour force,485.0
Iitti,Total,6401.0
Iitti,Labour force,2702.0
Iitti,Employed,2358.0
Iitti,Unemployed,344.0
Iitti,Persons outside the labour force,3699.0
Iitti,0-14 years old,833.0
Iitti,"Students, pupils",320.0
Iitti,"Conscripts, persons in non-military service",7.0
Iitti,Pensioners,2366.0
Iitti,Other persons outside the labour force,173.0
Ikaalinen,Total,6758.0
Ikaalinen,Labour force,2792.0
Ikaalinen,Employed,2436.0
Ikaalinen,Unemployed,356.0
Ikaalinen,Persons outside the labour force,3966.0
Ikaalinen,0-14 years old,882.0
Ikaalinen,"Students, pupils",458.0
Ikaalinen,"Conscripts, persons in non-military service",5.0
Ikaalinen,Pensioners,2433.0
Ikaalinen,Other persons outside the labour force,188.0
Ilmajoki,Total,12429.0
Ilmajoki,Labour force,5901.0
Ilmajoki,Employed,5494.0
Ilmajoki,Unemployed,407.0
Ilmajoki,Persons outside the labour force,6528.0
Ilmajoki,0-14 years old,2305.0
Ilmajoki,"Students, pupils",837.0
Ilmajoki,"Conscripts, persons in non-military service",21.0
Ilmajoki,Pensioners,3101.0
Ilmajoki,Other persons outside the labour force,264.0
Ilomantsi,Total,4382.0
Ilomantsi,Labour force,1561.0
Ilomantsi,Employed,1270.0
Ilomantsi,Unemployed,291.0
Ilomantsi,Persons outside the labour force,2821.0
Ilomantsi,0-14 years old,349.0
Ilomantsi,"Students, pupils",137.0
Ilomantsi,"Conscripts, persons in non-military service",3.0
Ilomantsi,Pensioners,2235.0
Ilomantsi,Other persons outside the labour force,97.0
Imatra,Total,24724.0
Imatra,Labour force,10617.0
Imatra,Employed,8687.0
Imatra,Unemployed,1930.0
Imatra,Persons outside the labour force,14107.0
Imatra,0-14 years old,2747.0
Imatra,"Students, pupils",1380.0
Imatra,"Conscripts, persons in non-military service",34.0
Imatra,Pensioners,8998.0
Imatra,Other persons outside the labour force,948.0
Inari,Total,7224.0
Inari,Labour force,3742.0
Inari,Employed,3456.0
Inari,Unemployed,286.0
Inari,Persons outside the labour force,3482.0
Inari,0-14 years old,824.0
Inari,"Students, pupils",313.0
Inari,"Conscripts, persons in non-military service",10.0
Inari,Pensioners,2167.0
Inari,Other persons outside the labour force,168.0
Ingå,Total,5402.0
Ingå,Labour force,2643.0
Ingå,Employed,2497.0
Ingå,Unemployed,146.0
Ingå,Persons outside the labour force,2759.0
Ingå,0-14 years old,759.0
Ingå,"Students, pupils",311.0
Ingå,"Conscripts, persons in non-military service",5.0
Ingå,Pensioners,1530.0
Ingå,Other persons outside the labour force,154.0
Isojoki,Total,1794.0
Isojoki,Labour force,797.0
Isojoki,Employed,750.0
Isojoki,Unemployed,47.0
Isojoki,Persons outside the labour force,997.0
Isojoki,0-14 years old,201.0
Isojoki,"Students, pupils",69.0
Isojoki,"Conscripts, persons in non-military service",4.0
Isojoki,Pensioners,677.0
Isojoki,Other persons outside the labour force,46.0
Isokyrö,Total,4319.0
Isokyrö,Labour force,1893.0
Isokyrö,Employed,1755.0
Isokyrö,Unemployed,138.0
Isokyrö,Persons outside the labour force,2426.0
Isokyrö,0-14 years old,635.0
Isokyrö,"Students, pupils",311.0
Isokyrö,"Conscripts, persons in non-military service",10.0
Isokyrö,Pensioners,1389.0
Isokyrö,Other persons outside the labour force,81.0
Janakkala,Total,16015.0
Janakkala,Labour force,7572.0
Janakkala,Employed,6918.0
Janakkala,Unemployed,654.0
Janakkala,Persons outside the labour force,8443.0
Janakkala,0-14 years old,2403.0
Janakkala,"Students, pupils",1051.0
Janakkala,"Conscripts, persons in non-military service",25.0
Janakkala,Pensioners,4581.0
Janakkala,Other persons outside the labour force,383.0
Joensuu,Total,78741.0
Joensuu,Labour force,37011.0
Joensuu,Employed,31158.0
Joensuu,Unemployed,5853.0
Joensuu,Persons outside the labour force,41730.0
Joensuu,0-14 years old,9928.0
Joensuu,"Students, pupils",9165.0
Joensuu,"Conscripts, persons in non-military service",100.0
Joensuu,Pensioners,20295.0
Joensuu,Other persons outside the labour force,2242.0
Jokioinen,Total,4848.0
Jokioinen,Labour force,2228.0
Jokioinen,Employed,2019.0
Jokioinen,Unemployed,209.0
Jokioinen,Persons outside the labour force,2620.0
Jokioinen,0-14 years old,668.0
Jokioinen,"Students, pupils",265.0
Jokioinen,"Conscripts, persons in non-military service",5.0
Jokioinen,Pensioners,1562.0
Jokioinen,Other persons outside the labour force,120.0
Jomala,Total,5789.0
Jomala,Labour force,3181.0
Jomala,Employed,3068.0
Jomala,Unemployed,113.0
Jomala,Persons outside the labour force,2608.0
Jomala,0-14 years old,1131.0
Jomala,"Students, pupils",334.0
Jomala,"Conscripts, persons in non-military service",1.0
Jomala,Pensioners,969.0
Jomala,Other persons outside the labour force,173.0
Joroinen,Total,4552.0
Joroinen,Labour force,1958.0
Joroinen,Employed,1731.0
Joroinen,Unemployed,227.0
Joroinen,Persons outside the labour force,2594.0
Joroinen,0-14 years old,564.0
Joroinen,"Students, pupils",217.0
Joroinen,"Conscripts, persons in non-military service",11.0
Joroinen,Pensioners,1693.0
Joroinen,Other persons outside the labour force,109.0
Joutsa,Total,4099.0
Joutsa,Labour force,1568.0
Joutsa,Employed,1350.0
Joutsa,Unemployed,218.0
Joutsa,Persons outside the labour force,2531.0
Joutsa,0-14 years old,399.0
Joutsa,"Students, pupils",167.0
Joutsa,"Conscripts, persons in non-military service",5.0
Joutsa,Pensioners,1809.0
Joutsa,Other persons outside the labour force,151.0
Juuka,Total,4160.0
Juuka,Labour force,1644.0
Juuka,Employed,1303.0
Juuka,Unemployed,341.0
Juuka,Persons outside the labour force,2516.0
Juuka,0-14 years old,345.0
Juuka,"Students, pupils",173.0
Juuka,"Conscripts, persons in non-military service",4.0
Juuka,Pensioners,1902.0
Juuka,Other persons outside the labour force,92.0
Juupajoki,Total,1668.0
Juupajoki,Labour force,713.0
Juupajoki,Employed,650.0
Juupajoki,Unemployed,63.0
Juupajoki,Persons outside the labour force,955.0
Juupajoki,0-14 years old,203.0
Juupajoki,"Students, pupils",81.0
Juupajoki,"Conscripts, persons in non-military service",5.0
Juupajoki,Pensioners,636.0
Juupajoki,Other persons outside the labour force,30.0
Juva,Total,5674.0
Juva,Labour force,2334.0
Juva,Employed,2105.0
Juva,Unemployed,229.0
Juva,Persons outside the labour force,3340.0
Juva,0-14 years old,606.0
Juva,"Students, pupils",257.0
Juva,"Conscripts, persons in non-military service",10.0
Juva,Pensioners,2360.0
Juva,Other persons outside the labour force,107.0
Jyväskylä,Total,149194.0
Jyväskylä,Labour force,74304.0
Jyväskylä,Employed,63052.0
Jyväskylä,Unemployed,11252.0
Jyväskylä,Persons outside the labour force,74890.0
Jyväskylä,0-14 years old,20747.0
Jyväskylä,"Students, pupils",17399.0
Jyväskylä,"Conscripts, persons in non-military service",264.0
Jyväskylä,Pensioners,31971.0
Jyväskylä,Other persons outside the labour force,4509.0
Jämijärvi,Total,1658.0
Jämijärvi,Labour force,715.0
Jämijärvi,Employed,649.0
Jämijärvi,Unemployed,66.0
Jämijärvi,Persons outside the labour force,943.0
Jämijärvi,0-14 years old,241.0
Jämijärvi,"Students, pupils",78.0
Jämijärvi,"Conscripts, persons in non-military service",0.0
Jämijärvi,Pensioners,579.0
Jämijärvi,Other persons outside the labour force,45.0
Jämsä,Total,19116.0
Jämsä,Labour force,8010.0
Jämsä,Employed,6873.0
Jämsä,Unemployed,1137.0
Jämsä,Persons outside the labour force,11106.0
Jämsä,0-14 years old,2110.0
Jämsä,"Students, pupils",1023.0
Jämsä,"Conscripts, persons in non-military service",18.0
Jämsä,Pensioners,7334.0
Jämsä,Other persons outside the labour force,621.0
Järvenpää,Total,46871.0
Järvenpää,Labour force,24228.0
Järvenpää,Employed,21416.0
Järvenpää,Unemployed,2812.0
Järvenpää,Persons outside the labour force,22643.0
Järvenpää,0-14 years old,7421.0
Järvenpää,"Students, pupils",3392.0
Järvenpää,"Conscripts, persons in non-military service",76.0
Järvenpää,Pensioners,10337.0
Järvenpää,Other persons outside the labour force,1417.0
Kaarina,Total,36551.0
Kaarina,Labour force,18246.0
Kaarina,Employed,16821.0
Kaarina,Unemployed,1425.0
Kaarina,Persons outside the labour force,18305.0
Kaarina,0-14 years old,6567.0
Kaarina,"Students, pupils",2434.0
Kaarina,"Conscripts, persons in non-military service",66.0
Kaarina,Pensioners,8565.0
Kaarina,Other persons outside the labour force,673.0
Kaavi,Total,2589.0
Kaavi,Labour force,993.0
Kaavi,Employed,840.0
Kaavi,Unemployed,153.0
Kaavi,Persons outside the labour force,1596.0
Kaavi,0-14 years old,265.0
Kaavi,"Students, pupils",93.0
Kaavi,"Conscripts, persons in non-military service",1.0
Kaavi,Pensioners,1176.0
Kaavi,Other persons outside the labour force,61.0
Kajaani,Total,36433.0
Kajaani,Labour force,16917.0
Kajaani,Employed,14948.0
Kajaani,Unemployed,1969.0
Kajaani,Persons outside the labour force,19516.0
Kajaani,0-14 years old,5207.0
Kajaani,"Students, pupils",3115.0
Kajaani,"Conscripts, persons in non-military service",35.0
Kajaani,Pensioners,10195.0
Kajaani,Other persons outside the labour force,964.0
Kalajoki,Total,12271.0
Kalajoki,Labour force,5322.0
Kalajoki,Employed,4846.0
Kalajoki,Unemployed,476.0
Kalajoki,Persons outside the labour force,6949.0
Kalajoki,0-14 years old,2050.0
Kalajoki,"Students, pupils",852.0
Kalajoki,"Conscripts, persons in non-military service",13.0
Kalajoki,Pensioners,3738.0
Kalajoki,Other persons outside the labour force,296.0
Kangasala,Total,33951.0
Kangasala,Labour force,16976.0
Kangasala,Employed,15444.0
Kangasala,Unemployed,1532.0
Kangasala,Persons outside the labour force,16975.0
Kangasala,0-14 years old,5897.0
Kangasala,"Students, pupils",2484.0
Kangasala,"Conscripts, persons in non-military service",75.0
Kangasala,Pensioners,7840.0
Kangasala,Other persons outside the labour force,679.0
Kangasniemi,Total,5062.0
Kangasniemi,Labour force,2036.0
Kangasniemi,Employed,1793.0
Kangasniemi,Unemployed,243.0
Kangasniemi,Persons outside the labour force,3026.0
Kangasniemi,0-14 years old,542.0
Kangasniemi,"Students, pupils",216.0
Kangasniemi,"Conscripts, persons in non-military service",9.0
Kangasniemi,Pensioners,2130.0
Kangasniemi,Other persons outside the labour force,129.0
Kankaanpää,Total,12478.0
Kankaanpää,Labour force,5419.0
Kankaanpää,Employed,4735.0
Kankaanpää,Unemployed,684.0
Kankaanpää,Persons outside the labour force,7059.0
Kankaanpää,0-14 years old,1682.0
Kankaanpää,"Students, pupils",723.0
Kankaanpää,"Conscripts, persons in non-military service",8.0
Kankaanpää,Pensioners,4270.0
Kankaanpää,Other persons outside the labour force,376.0
Kannonkoski,Total,1186.0
Kannonkoski,Labour force,463.0
Kannonkoski,Employed,396.0
Kannonkoski,Unemployed,67.0
Kannonkoski,Persons outside the labour force,723.0
Kannonkoski,0-14 years old,128.0
Kannonkoski,"Students, pupils",49.0
Kannonkoski,"Conscripts, persons in non-military service",0.0
Kannonkoski,Pensioners,519.0
Kannonkoski,Other persons outside the labour force,27.0
Kannus,Total,5264.0
Kannus,Labour force,2342.0
Kannus,Employed,2123.0
Kannus,Unemployed,219.0
Kannus,Persons outside the labour force,2922.0
Kannus,0-14 years old,919.0
Kannus,"Students, pupils",340.0
Kannus,"Conscripts, persons in non-military service",2.0
Kannus,Pensioners,1536.0
Kannus,Other persons outside the labour force,125.0
Karijoki,Total,1159.0
Karijoki,Labour force,499.0
Karijoki,Employed,452.0
Karijoki,Unemployed,47.0
Karijoki,Persons outside the labour force,660.0
Karijoki,0-14 years old,124.0
Karijoki,"Students, pupils",47.0
Karijoki,"Conscripts, persons in non-military service",2.0
Karijoki,Pensioners,471.0
Karijoki,Other persons outside the labour force,16.0
Karkkila,Total,8440.0
Karkkila,Labour force,3924.0
Karkkila,Employed,3420.0
Karkkila,Unemployed,504.0
Karkkila,Persons outside the labour force,4516.0
Karkkila,0-14 years old,1086.0
Karkkila,"Students, pupils",562.0
