Area,Language group,value
Kihniö,Finnish-speaking population,1635.0
Kihniö,Swedish-speaking population,0.0
Kinnula,Finnish-speaking population,1446.0
Kinnula,Swedish-speaking population,1.0
Kirkkonummi,Finnish-speaking population,30121.0
Kirkkonummi,Swedish-speaking population,6028.0
Kitee,Finnish-speaking population,8565.0
Kitee,Swedish-speaking population,4.0
Kittilä,Finnish-speaking population,6494.0
Kittilä,Swedish-speaking population,35.0
Kiuruvesi,Finnish-speaking population,7111.0
Kiuruvesi,Swedish-speaking population,0.0
Kivijärvi,Finnish-speaking population,986.0
Kivijärvi,Swedish-speaking population,0.0
Kokemäki,Finnish-speaking population,6292.0
Kokemäki,Swedish-speaking population,16.0
Kokkola,Finnish-speaking population,39681.0
Kokkola,Swedish-speaking population,5641.0
Kolari,Finnish-speaking population,3844.0
Kolari,Swedish-speaking population,29.0
Konnevesi,Finnish-speaking population,2346.0
Konnevesi,Swedish-speaking population,0.0
Kontiolahti,Finnish-speaking population,14704.0
Kontiolahti,Swedish-speaking population,7.0
Korsnäs,Finnish-speaking population,73.0
Korsnäs,Swedish-speaking population,1646.0
Koski Tl,Finnish-speaking population,2046.0
Koski Tl,Swedish-speaking population,10.0
Kotka,Finnish-speaking population,43683.0
Kotka,Swedish-speaking population,466.0
Kouvola,Finnish-speaking population,72506.0
Kouvola,Swedish-speaking population,275.0
Kristinestad,Finnish-speaking population,2412.0
Kristinestad,Swedish-speaking population,3173.0
Kronoby,Finnish-speaking population,1209.0
Kronoby,Swedish-speaking population,4728.0
Kuhmo,Finnish-speaking population,7034.0
Kuhmo,Swedish-speaking population,5.0
Kuhmoinen,Finnish-speaking population,1919.0
Kuhmoinen,Swedish-speaking population,9.0
Kumlinge,Finnish-speaking population,22.0
Kumlinge,Swedish-speaking population,225.0
Kuopio,Finnish-speaking population,117221.0
Kuopio,Swedish-speaking population,143.0
Kuortane,Finnish-speaking population,3204.0
Kuortane,Swedish-speaking population,7.0
Kurikka,Finnish-speaking population,18656.0
Kurikka,Swedish-speaking population,83.0
Kustavi,Finnish-speaking population,906.0
Kustavi,Swedish-speaking population,19.0
Kuusamo,Finnish-speaking population,14009.0
Kuusamo,Swedish-speaking population,45.0
Kyyjärvi,Finnish-speaking population,1097.0
Kyyjärvi,Swedish-speaking population,2.0
Kärkölä,Finnish-speaking population,3784.0
Kärkölä,Swedish-speaking population,21.0
Kärsämäki,Finnish-speaking population,2286.0
Kärsämäki,Swedish-speaking population,2.0
Kökar,Finnish-speaking population,20.0
Kökar,Swedish-speaking population,181.0
Lahti,Finnish-speaking population,107782.0
Lahti,Swedish-speaking population,568.0
Laihia,Finnish-speaking population,7278.0
Laihia,Swedish-speaking population,93.0
Laitila,Finnish-speaking population,7194.0
Laitila,Swedish-speaking population,24.0
Lapinjärvi,Finnish-speaking population,1545.0
Lapinjärvi,Swedish-speaking population,694.0
Lapinlahti,Finnish-speaking population,8504.0
Lapinlahti,Swedish-speaking population,12.0
Lappajärvi,Finnish-speaking population,2499.0
Lappajärvi,Swedish-speaking population,13.0
Lappeenranta,Finnish-speaking population,64381.0
Lappeenranta,Swedish-speaking population,123.0
Lapua,Finnish-speaking population,13201.0
Lapua,Swedish-speaking population,30.0
Laukaa,Finnish-speaking population,18335.0
Laukaa,Swedish-speaking population,24.0
Lemi,Finnish-speaking population,2805.0
Lemi,Swedish-speaking population,2.0
Lemland,Finnish-speaking population,73.0
Lemland,Swedish-speaking population,1937.0
Lempäälä,Finnish-speaking population,24138.0
Lempäälä,Swedish-speaking population,71.0
Leppävirta,Finnish-speaking population,8638.0
Leppävirta,Swedish-speaking population,12.0
Lestijärvi,Finnish-speaking population,642.0
Lestijärvi,Swedish-speaking population,1.0
Lieksa,Finnish-speaking population,9169.0
Lieksa,Swedish-speaking population,7.0
Lieto,Finnish-speaking population,19436.0
Lieto,Swedish-speaking population,314.0
Liminka,Finnish-speaking population,9986.0
Liminka,Swedish-speaking population,15.0
Liperi,Finnish-speaking population,11582.0
Liperi,Swedish-speaking population,4.0
Lohja,Finnish-speaking population,40604.0
Lohja,Swedish-speaking population,1555.0
Loimaa,Finnish-speaking population,14152.0
Loimaa,Swedish-speaking population,33.0
Loppi,Finnish-speaking population,7231.0
Loppi,Swedish-speaking population,35.0
Loviisa,Finnish-speaking population,7846.0
Loviisa,Swedish-speaking population,5489.0
Luhanka,Finnish-speaking population,689.0
Luhanka,Swedish-speaking population,0.0
Lumijoki,Finnish-speaking population,1932.0
Lumijoki,Swedish-speaking population,4.0
Lumparland,Finnish-speaking population,23.0
Lumparland,Swedish-speaking population,316.0
Larsmo,Finnish-speaking population,289.0
Larsmo,Swedish-speaking population,5457.0
Luumäki,Finnish-speaking population,4023.0
Luumäki,Swedish-speaking population,19.0
Malax,Finnish-speaking population,497.0
Malax,Swedish-speaking population,4552.0
Mariehamn,Finnish-speaking population,555.0
Mariehamn,Swedish-speaking population,9545.0
Marttila,Finnish-speaking population,1810.0
Marttila,Swedish-speaking population,18.0
Masku,Finnish-speaking population,9205.0
Masku,Swedish-speaking population,120.0
Merijärvi,Finnish-speaking population,1025.0
Merijärvi,Swedish-speaking population,3.0
Merikarvia,Finnish-speaking population,2705.0
Merikarvia,Swedish-speaking population,12.0
Miehikkälä,Finnish-speaking population,1549.0
Miehikkälä,Swedish-speaking population,4.0
Mikkeli,Finnish-speaking population,47934.0
Mikkeli,Swedish-speaking population,83.0
Muhos,Finnish-speaking population,8619.0
Muhos,Swedish-speaking population,5.0
Multia,Finnish-speaking population,1352.0
Multia,Swedish-speaking population,2.0
Muonio,Finnish-speaking population,2207.0
Muonio,Swedish-speaking population,14.0
Korsholm,Finnish-speaking population,5636.0
Korsholm,Swedish-speaking population,13441.0
Muurame,Finnish-speaking population,10382.0
Muurame,Swedish-speaking population,17.0
Mynämäki,Finnish-speaking population,7032.0
Mynämäki,Swedish-speaking population,66.0
Myrskylä,Finnish-speaking population,1467.0
Myrskylä,Swedish-speaking population,155.0
Mäntsälä,Finnish-speaking population,19433.0
Mäntsälä,Swedish-speaking population,152.0
Mänttä-Vilppula,Finnish-speaking population,8614.0
Mänttä-Vilppula,Swedish-speaking population,16.0
Mäntyharju,Finnish-speaking population,6616.0
Mäntyharju,Swedish-speaking population,22.0
Naantali,Finnish-speaking population,19177.0
Naantali,Swedish-speaking population,274.0
Nakkila,Finnish-speaking population,4747.0
Nakkila,Swedish-speaking population,28.0
Nivala,Finnish-speaking population,10096.0
Nivala,Swedish-speaking population,7.0
Nokia,Finnish-speaking population,34906.0
Nokia,Swedish-speaking population,117.0
Nousiainen,Finnish-speaking population,4453.0
Nousiainen,Swedish-speaking population,43.0
Nurmes,Finnish-speaking population,8392.0
Nurmes,Swedish-speaking population,9.0
Nurmijärvi,Finnish-speaking population,40961.0
Nurmijärvi,Swedish-speaking population,575.0
Närpes,Finnish-speaking population,462.0
Närpes,Swedish-speaking population,6927.0
Orimattila,Finnish-speaking population,14689.0
Orimattila,Swedish-speaking population,97.0
Oripää,Finnish-speaking population,1134.0
Oripää,Swedish-speaking population,7.0
Orivesi,Finnish-speaking population,8592.0
Orivesi,Swedish-speaking population,13.0
Oulainen,Finnish-speaking population,6639.0
Oulainen,Swedish-speaking population,8.0
Oulu,Finnish-speaking population,201917.0
Oulu,Swedish-speaking population,470.0
Outokumpu,Finnish-speaking population,5834.0
Outokumpu,Swedish-speaking population,7.0
Padasjoki,Finnish-speaking population,2556.0
Padasjoki,Swedish-speaking population,8.0
Paimio,Finnish-speaking population,10578.0
Paimio,Swedish-speaking population,98.0
Paltamo,Finnish-speaking population,2874.0
Paltamo,Swedish-speaking population,7.0
Pargas,Finnish-speaking population,6151.0
Pargas,Swedish-speaking population,7869.0
Parikkala,Finnish-speaking population,4094.0
Parikkala,Swedish-speaking population,8.0
Parkano,Finnish-speaking population,5785.0
Parkano,Swedish-speaking population,8.0
Pedersöre,Finnish-speaking population,892.0
Pedersöre,Swedish-speaking population,9977.0
Pelkosenniemi,Finnish-speaking population,906.0
Pelkosenniemi,Swedish-speaking population,3.0
Pello,Finnish-speaking population,3013.0
Pello,Swedish-speaking population,26.0
Perho,Finnish-speaking population,2510.0
Perho,Swedish-speaking population,11.0
Petäjävesi,Finnish-speaking population,3438.0
Petäjävesi,Swedish-speaking population,6.0
Pieksämäki,Finnish-speaking population,15732.0
Pieksämäki,Swedish-speaking population,18.0
Pielavesi,Finnish-speaking population,3770.0
Pielavesi,Swedish-speaking population,11.0
Jakobstad,Finnish-speaking population,5844.0
Jakobstad,Swedish-speaking population,10434.0
Pihtipudas,Finnish-speaking population,3601.0
Pihtipudas,Swedish-speaking population,0.0
Pirkkala,Finnish-speaking population,20253.0
Pirkkala,Swedish-speaking population,86.0
Polvijärvi,Finnish-speaking population,3870.0
Polvijärvi,Swedish-speaking population,6.0
Pomarkku,Finnish-speaking population,1859.0
Pomarkku,Swedish-speaking population,0.0
Pori,Finnish-speaking population,77357.0
Pori,Swedish-speaking population,460.0
Pornainen,Finnish-speaking population,4611.0
Pornainen,Swedish-speaking population,114.0
Porvoo,Finnish-speaking population,32727.0
Porvoo,Swedish-speaking population,14091.0
Posio,Finnish-speaking population,2751.0
Posio,Swedish-speaking population,4.0
Pudasjärvi,Finnish-speaking population,7020.0
Pudasjärvi,Swedish-speaking population,12.0
Pukkila,Finnish-speaking population,1630.0
Pukkila,Swedish-speaking population,11.0
Punkalaidun,Finnish-speaking population,2447.0
Punkalaidun,Swedish-speaking population,3.0
Puolanka,Finnish-speaking population,2224.0
Puolanka,Swedish-speaking population,5.0
Puumala,Finnish-speaking population,1997.0
Puumala,Swedish-speaking population,5.0
Pyhtää,Finnish-speaking population,4436.0
Pyhtää,Swedish-speaking population,324.0
Pyhäjoki,Finnish-speaking population,2820.0
Pyhäjoki,Swedish-speaking population,7.0
Pyhäjärvi,Finnish-speaking population,4408.0
Pyhäjärvi,Swedish-speaking population,7.0
Pyhäntä,Finnish-speaking population,1491.0
Pyhäntä,Swedish-speaking population,0.0
Pyhäranta,Finnish-speaking population,1827.0
Pyhäranta,Swedish-speaking population,10.0
Pälkäne,Finnish-speaking population,5875.0
Pälkäne,Swedish-speaking population,21.0
Pöytyä,Finnish-speaking population,7438.0
Pöytyä,Swedish-speaking population,40.0
Raahe,Finnish-speaking population,22262.0
Raahe,Swedish-speaking population,18.0
Raseborg,Finnish-speaking population,8126.0
Raseborg,Swedish-speaking population,16997.0
Raisio,Finnish-speaking population,21818.0
Raisio,Swedish-speaking population,367.0
Rantasalmi,Finnish-speaking population,2992.0
Rantasalmi,Swedish-speaking population,7.0
Ranua,Finnish-speaking population,3443.0
Ranua,Swedish-speaking population,7.0
Rauma,Finnish-speaking population,34909.0
Rauma,Swedish-speaking population,115.0
Rautalampi,Finnish-speaking population,2775.0
Rautalampi,Swedish-speaking population,4.0
Rautavaara,Finnish-speaking population,1351.0
Rautavaara,Swedish-speaking population,0.0
Rautjärvi,Finnish-speaking population,2743.0
Rautjärvi,Swedish-speaking population,5.0
Reisjärvi,Finnish-speaking population,2462.0
Reisjärvi,Swedish-speaking population,1.0
Riihimäki,Finnish-speaking population,26037.0
Riihimäki,Swedish-speaking population,120.0
Ristijärvi,Finnish-speaking population,1113.0
Ristijärvi,Swedish-speaking population,1.0
Rovaniemi,Finnish-speaking population,61713.0
Rovaniemi,Swedish-speaking population,144.0
Ruokolahti,Finnish-speaking population,4462.0
Ruokolahti,Swedish-speaking population,10.0
Ruovesi,Finnish-speaking population,3830.0
Ruovesi,Swedish-speaking population,12.0
Rusko,Finnish-speaking population,6068.0
Rusko,Swedish-speaking population,98.0
Rääkkylä,Finnish-speaking population,1732.0
Rääkkylä,Swedish-speaking population,3.0
Saarijärvi,Finnish-speaking population,8503.0
Saarijärvi,Swedish-speaking population,11.0
Salla,Finnish-speaking population,3086.0
Salla,Swedish-speaking population,8.0
Salo,Finnish-speaking population,44975.0
Salo,Swedish-speaking population,582.0
Saltvik,Finnish-speaking population,69.0
Saltvik,Swedish-speaking population,1600.0
Sastamala,Finnish-speaking population,22361.0
Sastamala,Swedish-speaking population,50.0
Sauvo,Finnish-speaking population,2676.0
Sauvo,Swedish-speaking population,71.0
Savitaipale,Finnish-speaking population,2987.0
Savitaipale,Swedish-speaking population,13.0
Savonlinna,Finnish-speaking population,29037.0
Savonlinna,Swedish-speaking population,43.0
Savukoski,Finnish-speaking population,937.0
Savukoski,Swedish-speaking population,5.0
Seinäjoki,Finnish-speaking population,62996.0
Seinäjoki,Swedish-speaking population,155.0
Sievi,Finnish-speaking population,4315.0
Sievi,Swedish-speaking population,11.0
Siikainen,Finnish-speaking population,1208.0
Siikainen,Swedish-speaking population,2.0
Siikajoki,Finnish-speaking population,4635.0
Siikajoki,Swedish-speaking population,2.0
Siikalatva,Finnish-speaking population,4761.0
Siikalatva,Swedish-speaking population,3.0
Siilinjärvi,Finnish-speaking population,20800.0
Siilinjärvi,Swedish-speaking population,15.0
Simo,Finnish-speaking population,2665.0
Simo,Swedish-speaking population,9.0
Sipoo,Finnish-speaking population,15013.0
Sipoo,Swedish-speaking population,6175.0
Siuntio,Finnish-speaking population,4040.0
Siuntio,Swedish-speaking population,1609.0
Sodankylä,Finnish-speaking population,7701.0
Sodankylä,Swedish-speaking population,12.0
Soini,Finnish-speaking population,1738.0
Soini,Swedish-speaking population,2.0
Somero,Finnish-speaking population,7716.0
Somero,Swedish-speaking population,44.0
Sonkajärvi,Finnish-speaking population,3447.0
Sonkajärvi,Swedish-speaking population,2.0
Sotkamo,Finnish-speaking population,9603.0
Sotkamo,Swedish-speaking population,17.0
Sottunga,Finnish-speaking population,4.0
Sottunga,Swedish-speaking population,94.0
Sulkava,Finnish-speaking population,2181.0
Sulkava,Swedish-speaking population,4.0
Sund,Finnish-speaking population,43.0
Sund,Swedish-speaking population,895.0
Suomussalmi,Finnish-speaking population,6685.0
Suomussalmi,Swedish-speaking population,7.0
Suonenjoki,Finnish-speaking population,6239.0
Suonenjoki,Swedish-speaking population,14.0
Sysmä,Finnish-speaking population,3224.0
Sysmä,Swedish-speaking population,11.0
Säkylä,Finnish-speaking population,5847.0
Säkylä,Swedish-speaking population,17.0
Taipalsaari,Finnish-speaking population,4265.0
Taipalsaari,Swedish-speaking population,8.0
Taivalkoski,Finnish-speaking population,3464.0
Taivalkoski,Swedish-speaking population,2.0
Taivassalo,Finnish-speaking population,1549.0
Taivassalo,Swedish-speaking population,14.0
Tammela,Finnish-speaking population,5600.0
Tammela,Swedish-speaking population,16.0
Tampere,Finnish-speaking population,230453.0
Tampere,Swedish-speaking population,1383.0
Tervo,Finnish-speaking population,1350.0
Tervo,Swedish-speaking population,2.0
Tervola,Finnish-speaking population,2740.0
Tervola,Swedish-speaking population,5.0
Teuva,Finnish-speaking population,4410.0
Teuva,Swedish-speaking population,34.0
Tohmajärvi,Finnish-speaking population,3614.0
Tohmajärvi,Swedish-speaking population,6.0
Toholampi,Finnish-speaking population,2672.0
Toholampi,Swedish-speaking population,3.0
Toivakka,Finnish-speaking population,2250.0
Toivakka,Swedish-speaking population,2.0
Tornio,Finnish-speaking population,19781.0
Tornio,Swedish-speaking population,100.0
Turku,Finnish-speaking population,160815.0
Turku,Swedish-speaking population,11306.0
Tuusniemi,Finnish-speaking population,2205.0
Tuusniemi,Swedish-speaking population,4.0
Tuusula,Finnish-speaking population,38143.0
Tuusula,Swedish-speaking population,600.0
Tyrnävä,Finnish-speaking population,6387.0
Tyrnävä,Swedish-speaking population,13.0
Ulvila,Finnish-speaking population,11884.0
Ulvila,Swedish-speaking population,43.0
Urjala,Finnish-speaking population,4277.0
Urjala,Swedish-speaking population,11.0
Utajärvi,Finnish-speaking population,2351.0
Utajärvi,Swedish-speaking population,0.0
Utsjoki,Finnish-speaking population,597.0
Utsjoki,Swedish-speaking population,7.0
Uurainen,Finnish-speaking population,3592.0
Uurainen,Swedish-speaking population,3.0
Nykarleby,Finnish-speaking population,461.0
Nykarleby,Swedish-speaking population,6189.0
Uusikaupunki,Finnish-speaking population,13237.0
Uusikaupunki,Swedish-speaking population,51.0
Vaala,Finnish-speaking population,2495.0
Vaala,Swedish-speaking population,0.0
Vaasa,Finnish-speaking population,44305.0
Vaasa,Swedish-speaking population,16258.0
Valkeakoski,Finnish-speaking population,19423.0
Valkeakoski,Swedish-speaking population,43.0
Vantaa,Finnish-speaking population,171979.0
Vantaa,Swedish-speaking population,5272.0
Varkaus,Finnish-speaking population,18105.0
Varkaus,Swedish-speaking population,35.0
Vehmaa,Finnish-speaking population,2087.0
Vehmaa,Swedish-speaking population,14.0
Vesanto,Finnish-speaking population,1721.0
Vesanto,Swedish-speaking population,1.0
Vesilahti,Finnish-speaking population,4404.0
Vesilahti,Swedish-speaking population,20.0
Veteli,Finnish-speaking population,2724.0
Veteli,Swedish-speaking population,47.0
Vieremä,Finnish-speaking population,3133.0
Vieremä,Swedish-speaking population,6.0
Vihti,Finnish-speaking population,26155.0
Vihti,Swedish-speaking population,483.0
Viitasaari,Finnish-speaking population,5543.0
Viitasaari,Swedish-speaking population,8.0
Vimpeli,Finnish-speaking population,2478.0
Vimpeli,Swedish-speaking population,5.0
Virolahti,Finnish-speaking population,2548.0
Virolahti,Swedish-speaking population,11.0
Virrat,Finnish-speaking population,5823.0
Virrat,Swedish-speaking population,7.0
Vårdö,Finnish-speaking population,19.0
Vårdö,Swedish-speaking population,395.0
Vörå,Finnish-speaking population,723.0
Vörå,Swedish-speaking population,5026.0
Ylitornio,Finnish-speaking population,3485.0
Ylitornio,Swedish-speaking population,27.0
Ylivieska,Finnish-speaking population,14847.0
Ylivieska,Swedish-speaking population,34.0
Ylöjärvi,Finnish-speaking population,32362.0
Ylöjärvi,Swedish-speaking population,135.0
Ypäjä,Finnish-speaking population,2121.0
Ypäjä,Swedish-speaking population,9.0
Ähtäri,Finnish-speaking population,4935.0
Ähtäri,Swedish-speaking population,6.0
Äänekoski,Finnish-speaking population,16872.0
Äänekoski,Swedish-speaking population,20.0
