Area,Industry,value
MK07 Päijät-Häme,J Information and communication (58-63) (Level 1),2364.0
MK07 Päijät-Häme,K Financial and insurance activities (64-66) (Level 1),874.0
MK07 Päijät-Häme,L Real estate activities (68) (Level 1),799.0
MK07 Päijät-Häme,"M Professional, scientific and technical activities (69-75) (Level 1)",3927.0
MK07 Päijät-Häme,N Administrative and support service activities (77-82) (Level 1),5882.0
MK07 Päijät-Häme,O Public administration and defence; compulsory social security (84) (Level 1),3130.0
MK07 Päijät-Häme,P Education (85) (Level 1),5057.0
MK07 Päijät-Häme,Q Human health and social work activities (86-88) (Level 1),15493.0
MK07 Päijät-Häme,"R Arts, entertainment and recreation (90-93) (Level 1)",1471.0
MK07 Päijät-Häme,S Other service activities (94-96) (Level 1),1957.0
MK07 Päijät-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),159.0
MK07 Päijät-Häme,U Activities of extraterritorial organisations and bodies (99) (Level 1),3.0
MK07 Päijät-Häme,X Unknown (Level 1),1070.0
MK08 Kymenlaakso,Industries total,61114.0
MK08 Kymenlaakso,"A Agriculture, forestry and fishing (01-03) (Level 1)",1420.0
MK08 Kymenlaakso,B Mining and quarrying (05-09) (Level 1),74.0
MK08 Kymenlaakso,C Manufacturing (10-33) (Level 1),8318.0
MK08 Kymenlaakso,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",556.0
MK08 Kymenlaakso,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",506.0
MK08 Kymenlaakso,F Construction (41-43) (Level 1),4028.0
MK08 Kymenlaakso,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),5894.0
MK08 Kymenlaakso,H Transportation and storage (49-53) (Level 1),5095.0
MK08 Kymenlaakso,I Accommodation and food service activities (55-56) (Level 1),2122.0
MK08 Kymenlaakso,J Information and communication (58-63) (Level 1),1084.0
MK08 Kymenlaakso,K Financial and insurance activities (64-66) (Level 1),478.0
MK08 Kymenlaakso,L Real estate activities (68) (Level 1),585.0
MK08 Kymenlaakso,"M Professional, scientific and technical activities (69-75) (Level 1)",2704.0
MK08 Kymenlaakso,N Administrative and support service activities (77-82) (Level 1),4877.0
MK08 Kymenlaakso,O Public administration and defence; compulsory social security (84) (Level 1),3864.0
MK08 Kymenlaakso,P Education (85) (Level 1),3635.0
MK08 Kymenlaakso,Q Human health and social work activities (86-88) (Level 1),12564.0
MK08 Kymenlaakso,"R Arts, entertainment and recreation (90-93) (Level 1)",958.0
MK08 Kymenlaakso,S Other service activities (94-96) (Level 1),1526.0
MK08 Kymenlaakso,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),153.0
MK08 Kymenlaakso,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK08 Kymenlaakso,X Unknown (Level 1),673.0
MK09 South Karelia,Industries total,47791.0
MK09 South Karelia,"A Agriculture, forestry and fishing (01-03) (Level 1)",1381.0
MK09 South Karelia,B Mining and quarrying (05-09) (Level 1),115.0
MK09 South Karelia,C Manufacturing (10-33) (Level 1),7630.0
MK09 South Karelia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",248.0
MK09 South Karelia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",280.0
MK09 South Karelia,F Construction (41-43) (Level 1),3015.0
MK09 South Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),4645.0
MK09 South Karelia,H Transportation and storage (49-53) (Level 1),2522.0
MK09 South Karelia,I Accommodation and food service activities (55-56) (Level 1),1857.0
MK09 South Karelia,J Information and communication (58-63) (Level 1),1256.0
MK09 South Karelia,K Financial and insurance activities (64-66) (Level 1),487.0
MK09 South Karelia,L Real estate activities (68) (Level 1),445.0
MK09 South Karelia,"M Professional, scientific and technical activities (69-75) (Level 1)",2116.0
MK09 South Karelia,N Administrative and support service activities (77-82) (Level 1),3348.0
MK09 South Karelia,O Public administration and defence; compulsory social security (84) (Level 1),2795.0
MK09 South Karelia,P Education (85) (Level 1),3790.0
MK09 South Karelia,Q Human health and social work activities (86-88) (Level 1),9257.0
MK09 South Karelia,"R Arts, entertainment and recreation (90-93) (Level 1)",704.0
MK09 South Karelia,S Other service activities (94-96) (Level 1),1263.0
MK09 South Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),94.0
MK09 South Karelia,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK09 South Karelia,X Unknown (Level 1),543.0
MK04 Satakunta,Industries total,85612.0
MK04 Satakunta,"A Agriculture, forestry and fishing (01-03) (Level 1)",2840.0
MK04 Satakunta,B Mining and quarrying (05-09) (Level 1),150.0
MK04 Satakunta,C Manufacturing (10-33) (Level 1),16491.0
MK04 Satakunta,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",1454.0
MK04 Satakunta,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",689.0
MK04 Satakunta,F Construction (41-43) (Level 1),5962.0
MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),8129.0
MK04 Satakunta,H Transportation and storage (49-53) (Level 1),4722.0
MK04 Satakunta,I Accommodation and food service activities (55-56) (Level 1),2892.0
MK04 Satakunta,J Information and communication (58-63) (Level 1),1507.0
MK04 Satakunta,K Financial and insurance activities (64-66) (Level 1),778.0
MK04 Satakunta,L Real estate activities (68) (Level 1),625.0
MK04 Satakunta,"M Professional, scientific and technical activities (69-75) (Level 1)",3332.0
MK04 Satakunta,N Administrative and support service activities (77-82) (Level 1),6419.0
MK04 Satakunta,O Public administration and defence; compulsory social security (84) (Level 1),3366.0
MK04 Satakunta,P Education (85) (Level 1),5304.0
MK04 Satakunta,Q Human health and social work activities (86-88) (Level 1),16498.0
MK04 Satakunta,"R Arts, entertainment and recreation (90-93) (Level 1)",1141.0
MK04 Satakunta,S Other service activities (94-96) (Level 1),1965.0
MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),392.0
MK04 Satakunta,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK04 Satakunta,X Unknown (Level 1),956.0
MK06 Pirkanmaa,Industries total,237011.0
MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03) (Level 1)",4110.0
MK06 Pirkanmaa,B Mining and quarrying (05-09) (Level 1),172.0
MK06 Pirkanmaa,C Manufacturing (10-33) (Level 1),33963.0
MK06 Pirkanmaa,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",1108.0
MK06 Pirkanmaa,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",1094.0
MK06 Pirkanmaa,F Construction (41-43) (Level 1),14343.0
MK06 Pirkanmaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),24903.0
MK06 Pirkanmaa,H Transportation and storage (49-53) (Level 1),10093.0
MK06 Pirkanmaa,I Accommodation and food service activities (55-56) (Level 1),8571.0
MK06 Pirkanmaa,J Information and communication (58-63) (Level 1),13767.0
MK06 Pirkanmaa,K Financial and insurance activities (64-66) (Level 1),3972.0
MK06 Pirkanmaa,L Real estate activities (68) (Level 1),2467.0
MK06 Pirkanmaa,"M Professional, scientific and technical activities (69-75) (Level 1)",15832.0
MK06 Pirkanmaa,N Administrative and support service activities (77-82) (Level 1),18555.0
MK06 Pirkanmaa,O Public administration and defence; compulsory social security (84) (Level 1),9666.0
MK06 Pirkanmaa,P Education (85) (Level 1),17251.0
MK06 Pirkanmaa,Q Human health and social work activities (86-88) (Level 1),43703.0
MK06 Pirkanmaa,"R Arts, entertainment and recreation (90-93) (Level 1)",4580.0
MK06 Pirkanmaa,S Other service activities (94-96) (Level 1),5434.0
MK06 Pirkanmaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),475.0
MK06 Pirkanmaa,U Activities of extraterritorial organisations and bodies (99) (Level 1),5.0
MK06 Pirkanmaa,X Unknown (Level 1),2947.0
MK13 Central Finland,Industries total,109014.0
MK13 Central Finland,"A Agriculture, forestry and fishing (01-03) (Level 1)",3265.0
MK13 Central Finland,B Mining and quarrying (05-09) (Level 1),161.0
MK13 Central Finland,C Manufacturing (10-33) (Level 1),14296.0
MK13 Central Finland,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",408.0
MK13 Central Finland,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",703.0
MK13 Central Finland,F Construction (41-43) (Level 1),6925.0
MK13 Central Finland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),10888.0
MK13 Central Finland,H Transportation and storage (49-53) (Level 1),4479.0
MK13 Central Finland,I Accommodation and food service activities (55-56) (Level 1),3767.0
MK13 Central Finland,J Information and communication (58-63) (Level 1),4844.0
MK13 Central Finland,K Financial and insurance activities (64-66) (Level 1),863.0
MK13 Central Finland,L Real estate activities (68) (Level 1),1214.0
MK13 Central Finland,"M Professional, scientific and technical activities (69-75) (Level 1)",5904.0
MK13 Central Finland,N Administrative and support service activities (77-82) (Level 1),6973.0
MK13 Central Finland,O Public administration and defence; compulsory social security (84) (Level 1),5705.0
MK13 Central Finland,P Education (85) (Level 1),10173.0
MK13 Central Finland,Q Human health and social work activities (86-88) (Level 1),21571.0
MK13 Central Finland,"R Arts, entertainment and recreation (90-93) (Level 1)",2199.0
MK13 Central Finland,S Other service activities (94-96) (Level 1),2880.0
MK13 Central Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),368.0
MK13 Central Finland,U Activities of extraterritorial organisations and bodies (99) (Level 1),1.0
MK13 Central Finland,X Unknown (Level 1),1427.0
MK14 South Ostrobothnia,Industries total,78688.0
MK14 South Ostrobothnia,"A Agriculture, forestry and fishing (01-03) (Level 1)",5302.0
MK14 South Ostrobothnia,B Mining and quarrying (05-09) (Level 1),292.0
MK14 South Ostrobothnia,C Manufacturing (10-33) (Level 1),14429.0
MK14 South Ostrobothnia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",315.0
MK14 South Ostrobothnia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",410.0
MK14 South Ostrobothnia,F Construction (41-43) (Level 1),4995.0
MK14 South Ostrobothnia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),8257.0
MK14 South Ostrobothnia,H Transportation and storage (49-53) (Level 1),3899.0
MK14 South Ostrobothnia,I Accommodation and food service activities (55-56) (Level 1),2327.0
MK14 South Ostrobothnia,J Information and communication (58-63) (Level 1),1080.0
MK14 South Ostrobothnia,K Financial and insurance activities (64-66) (Level 1),847.0
MK14 South Ostrobothnia,L Real estate activities (68) (Level 1),567.0
MK14 South Ostrobothnia,"M Professional, scientific and technical activities (69-75) (Level 1)",2716.0
MK14 South Ostrobothnia,N Administrative and support service activities (77-82) (Level 1),4095.0
MK14 South Ostrobothnia,O Public administration and defence; compulsory social security (84) (Level 1),2803.0
MK14 South Ostrobothnia,P Education (85) (Level 1),5319.0
MK14 South Ostrobothnia,Q Human health and social work activities (86-88) (Level 1),16959.0
MK14 South Ostrobothnia,"R Arts, entertainment and recreation (90-93) (Level 1)",1004.0
MK14 South Ostrobothnia,S Other service activities (94-96) (Level 1),2001.0
MK14 South Ostrobothnia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),316.0
MK14 South Ostrobothnia,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK14 South Ostrobothnia,X Unknown (Level 1),755.0
MK15 Ostrobothnia,Industries total,79119.0
MK15 Ostrobothnia,"A Agriculture, forestry and fishing (01-03) (Level 1)",3703.0
MK15 Ostrobothnia,B Mining and quarrying (05-09) (Level 1),55.0
MK15 Ostrobothnia,C Manufacturing (10-33) (Level 1),17420.0
MK15 Ostrobothnia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",462.0
MK15 Ostrobothnia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",501.0
MK15 Ostrobothnia,F Construction (41-43) (Level 1),4680.0
MK15 Ostrobothnia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),6656.0
MK15 Ostrobothnia,H Transportation and storage (49-53) (Level 1),2879.0
MK15 Ostrobothnia,I Accommodation and food service activities (55-56) (Level 1),2585.0
MK15 Ostrobothnia,J Information and communication (58-63) (Level 1),2161.0
MK15 Ostrobothnia,K Financial and insurance activities (64-66) (Level 1),1124.0
MK15 Ostrobothnia,L Real estate activities (68) (Level 1),467.0
MK15 Ostrobothnia,"M Professional, scientific and technical activities (69-75) (Level 1)",3587.0
MK15 Ostrobothnia,N Administrative and support service activities (77-82) (Level 1),4941.0
MK15 Ostrobothnia,O Public administration and defence; compulsory social security (84) (Level 1),3029.0
MK15 Ostrobothnia,P Education (85) (Level 1),6277.0
MK15 Ostrobothnia,Q Human health and social work activities (86-88) (Level 1),14760.0
MK15 Ostrobothnia,"R Arts, entertainment and recreation (90-93) (Level 1)",1011.0
MK15 Ostrobothnia,S Other service activities (94-96) (Level 1),1950.0
MK15 Ostrobothnia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),83.0
MK15 Ostrobothnia,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK15 Ostrobothnia,X Unknown (Level 1),788.0
MK10 South Savo,Industries total,48895.0
MK10 South Savo,"A Agriculture, forestry and fishing (01-03) (Level 1)",3139.0
MK10 South Savo,B Mining and quarrying (05-09) (Level 1),56.0
MK10 South Savo,C Manufacturing (10-33) (Level 1),6743.0
MK10 South Savo,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",211.0
MK10 South Savo,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",321.0
MK10 South Savo,F Construction (41-43) (Level 1),2772.0
MK10 South Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),4687.0
MK10 South Savo,H Transportation and storage (49-53) (Level 1),2303.0
MK10 South Savo,I Accommodation and food service activities (55-56) (Level 1),1677.0
MK10 South Savo,J Information and communication (58-63) (Level 1),880.0
MK10 South Savo,K Financial and insurance activities (64-66) (Level 1),384.0
MK10 South Savo,L Real estate activities (68) (Level 1),442.0
MK10 South Savo,"M Professional, scientific and technical activities (69-75) (Level 1)",1846.0
MK10 South Savo,N Administrative and support service activities (77-82) (Level 1),2801.0
MK10 South Savo,O Public administration and defence; compulsory social security (84) (Level 1),2273.0
MK10 South Savo,P Education (85) (Level 1),3381.0
MK10 South Savo,Q Human health and social work activities (86-88) (Level 1),11957.0
MK10 South Savo,"R Arts, entertainment and recreation (90-93) (Level 1)",835.0
MK10 South Savo,S Other service activities (94-96) (Level 1),1307.0
MK10 South Savo,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),264.0
MK10 South Savo,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK10 South Savo,X Unknown (Level 1),616.0
MK11 North Savo,Industries total,100338.0
MK11 North Savo,"A Agriculture, forestry and fishing (01-03) (Level 1)",5204.0
MK11 North Savo,B Mining and quarrying (05-09) (Level 1),378.0
MK11 North Savo,C Manufacturing (10-33) (Level 1),11906.0
MK11 North Savo,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",437.0
MK11 North Savo,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",565.0
MK11 North Savo,F Construction (41-43) (Level 1),6691.0
MK11 North Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),10113.0
MK11 North Savo,H Transportation and storage (49-53) (Level 1),4462.0
MK11 North Savo,I Accommodation and food service activities (55-56) (Level 1),3133.0
MK11 North Savo,J Information and communication (58-63) (Level 1),2585.0
MK11 North Savo,K Financial and insurance activities (64-66) (Level 1),1498.0
MK11 North Savo,L Real estate activities (68) (Level 1),890.0
MK11 North Savo,"M Professional, scientific and technical activities (69-75) (Level 1)",4931.0
MK11 North Savo,N Administrative and support service activities (77-82) (Level 1),7598.0
MK11 North Savo,O Public administration and defence; compulsory social security (84) (Level 1),4630.0
MK11 North Savo,P Education (85) (Level 1),7513.0
MK11 North Savo,Q Human health and social work activities (86-88) (Level 1),22271.0
MK11 North Savo,"R Arts, entertainment and recreation (90-93) (Level 1)",1525.0
MK11 North Savo,S Other service activities (94-96) (Level 1),2516.0
MK11 North Savo,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),420.0
MK11 North Savo,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK11 North Savo,X Unknown (Level 1),1072.0
MK12 North Karelia,Industries total,61359.0
MK12 North Karelia,"A Agriculture, forestry and fishing (01-03) (Level 1)",2978.0
MK12 North Karelia,B Mining and quarrying (05-09) (Level 1),197.0
MK12 North Karelia,C Manufacturing (10-33) (Level 1),8819.0
MK12 North Karelia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",214.0
MK12 North Karelia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",331.0
MK12 North Karelia,F Construction (41-43) (Level 1),3620.0
MK12 North Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),5901.0
MK12 North Karelia,H Transportation and storage (49-53) (Level 1),2456.0
MK12 North Karelia,I Accommodation and food service activities (55-56) (Level 1),2233.0
MK12 North Karelia,J Information and communication (58-63) (Level 1),1644.0
MK12 North Karelia,K Financial and insurance activities (64-66) (Level 1),615.0
MK12 North Karelia,L Real estate activities (68) (Level 1),539.0
MK12 North Karelia,"M Professional, scientific and technical activities (69-75) (Level 1)",2271.0
MK12 North Karelia,N Administrative and support service activities (77-82) (Level 1),3892.0
MK12 North Karelia,O Public administration and defence; compulsory social security (84) (Level 1),3524.0
MK12 North Karelia,P Education (85) (Level 1),5160.0
MK12 North Karelia,Q Human health and social work activities (86-88) (Level 1),13390.0
MK12 North Karelia,"R Arts, entertainment and recreation (90-93) (Level 1)",1012.0
MK12 North Karelia,S Other service activities (94-96) (Level 1),1672.0
MK12 North Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),162.0
MK12 North Karelia,U Activities of extraterritorial organisations and bodies (99) (Level 1),31.0
MK12 North Karelia,X Unknown (Level 1),698.0
MK16 Central Ostrobothnia,Industries total,27762.0
MK16 Central Ostrobothnia,"A Agriculture, forestry and fishing (01-03) (Level 1)",1630.0
MK16 Central Ostrobothnia,B Mining and quarrying (05-09) (Level 1),59.0
MK16 Central Ostrobothnia,C Manufacturing (10-33) (Level 1),4972.0
MK16 Central Ostrobothnia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",187.0
MK16 Central Ostrobothnia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",174.0
MK16 Central Ostrobothnia,F Construction (41-43) (Level 1),1697.0
MK16 Central Ostrobothnia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),2984.0
MK16 Central Ostrobothnia,H Transportation and storage (49-53) (Level 1),1362.0
MK16 Central Ostrobothnia,I Accommodation and food service activities (55-56) (Level 1),770.0
MK16 Central Ostrobothnia,J Information and communication (58-63) (Level 1),599.0
MK16 Central Ostrobothnia,K Financial and insurance activities (64-66) (Level 1),272.0
MK16 Central Ostrobothnia,L Real estate activities (68) (Level 1),154.0
MK16 Central Ostrobothnia,"M Professional, scientific and technical activities (69-75) (Level 1)",938.0
MK16 Central Ostrobothnia,N Administrative and support service activities (77-82) (Level 1),1530.0
MK16 Central Ostrobothnia,O Public administration and defence; compulsory social security (84) (Level 1),831.0
MK16 Central Ostrobothnia,P Education (85) (Level 1),2275.0
MK16 Central Ostrobothnia,Q Human health and social work activities (86-88) (Level 1),5983.0
MK16 Central Ostrobothnia,"R Arts, entertainment and recreation (90-93) (Level 1)",317.0
MK16 Central Ostrobothnia,S Other service activities (94-96) (Level 1),745.0
MK16 Central Ostrobothnia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98) (Level 1),34.0
MK16 Central Ostrobothnia,U Activities of extraterritorial organisations and bodies (99) (Level 1),0.0
MK16 Central Ostrobothnia,X Unknown (Level 1),249.0
MK17 North Ostrobothnia,Industries total,170733.0
MK17 North Ostrobothnia,"A Agriculture, forestry and fishing (01-03) (Level 1)",6302.0
MK17 North Ostrobothnia,B Mining and quarrying (05-09) (Level 1),911.0
MK17 North Ostrobothnia,C Manufacturing (10-33) (Level 1),22070.0
MK17 North Ostrobothnia,"D Electricity,  gas, steam and air conditioning supply (35) (Level 1)",724.0
MK17 North Ostrobothnia,"E Water supply; sewerage, waste management and remediation activities (36-39) (Level 1)",1062.0
MK17 North Ostrobothnia,F Construction (41-43) (Level 1),12882.0
MK17 North Ostrobothnia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47) (Level 1),16517.0
MK17 North Ostrobothnia,H Transportation and storage (49-53) (Level 1),7933.0
MK17 North Ostrobothnia,I Accommodation and food service activities (55-56) (Level 1),5268.0
MK17 North Ostrobothnia,J Information and communication (58-63) (Level 1),6701.0
MK17 North Ostrobothnia,K Financial and insurance activities (64-66) (Level 1),2473.0
MK17 North Ostrobothnia,L Real estate activities (68) (Level 1),1493.0
MK17 North Ostrobothnia,"M Professional, scientific and technical activities (69-75) (Level 1)",9358.0
MK17 North Ostrobothnia,N Administrative and support service activities (77-82) (Level 1),10796.0
MK17 North Ostrobothnia,O Public administration and defence; compulsory social security (84) (Level 1),6567.0
MK17 North Ostrobothnia,P Education (85) (Level 1),14800.0
