Area,Income decile,value
SK153 Sydösterbotten,Total,16535.0
SK154 Jakobstadsregionen,Total,49592.0
SK161 Kaustinen,Total,13860.0
SK162 Kokkola,Total,52552.0
SK171 Oulu,Total,259802.0
SK173 Oulunkaari,Total,21694.0
SK174 Raahe,Total,30774.0
SK175 Haapavesi-Siikalatva,Total,12674.0
SK176 Nivala-Haapajärvi,Total,25988.0
SK177 Ylivieska,Total,41799.0
SK178 Koillismaa,Total,17963.0
SK181 Kehys-Kainuu,Total,18389.0
SK182 Kajaani,Total,49381.0
SK191 Rovaniemi,Total,67819.0
SK192 Kemi-Tornio,Total,52421.0
SK193 Torniolaakso,Total,6684.0
SK194 Itä-Lappi,Total,14287.0
SK196 Tunturi-Lappi,Total,13305.0
SK197 Pohjois-Lappi,Total,15614.0
SK211 Mariehamns stad,Total,11641.0
SK212 Ålands landsbygd,Total,16494.0
SK213 Ålands skärgård,Total,1946.0
Akaa,I,1223.0
Alajärvi,I,934.0
Alavieska,I,277.0
Alavus,I,1167.0
Asikkala,I,697.0
Askola,I,240.0
Aura,I,251.0
Brändö,I,34.0
Eckerö,I,72.0
Enonkoski,I,135.0
Enontekiö,I,199.0
Espoo,I,27337.0
Eura,I,874.0
Eurajoki,I,478.0
Evijärvi,I,193.0
Finström,I,179.0
Forssa,I,2185.0
Föglö,I,44.0
Geta,I,64.0
Haapajärvi,I,701.0
Haapavesi,I,612.0
Hailuoto,I,73.0
Halsua,I,100.0
Hamina,I,1920.0
Hammarland,I,96.0
Hankasalmi,I,493.0
Hanko,I,507.0
Harjavalta,I,648.0
Hartola,I,317.0
Hattula,I,499.0
Hausjärvi,I,533.0
Heinola,I,1903.0
Heinävesi,I,359.0
Helsinki,I,67080.0
Hirvensalmi,I,204.0
Hollola,I,1294.0
Huittinen,I,854.0
Humppila,I,171.0
Hyrynsalmi,I,203.0
Hyvinkää,I,3467.0
Hämeenkyrö,I,804.0
Hämeenlinna,I,6267.0
Ii,I,752.0
Iisalmi,I,2256.0
Iitti,I,630.0
Ikaalinen,I,769.0
Ilmajoki,I,780.0
Ilomantsi,I,557.0
Imatra,I,2996.0
Inari,I,475.0
Ingå,I,301.0
Isojoki,I,193.0
Isokyrö,I,345.0
Janakkala,I,1052.0
Joensuu,I,12625.0
Jokioinen,I,331.0
Jomala,I,212.0
Joroinen,I,474.0
Joutsa,I,537.0
Juuka,I,571.0
Juupajoki,I,127.0
Juva,I,541.0
Jyväskylä,I,21739.0
Jämijärvi,I,163.0
Jämsä,I,1913.0
Järvenpää,I,3327.0
Kaarina,I,1614.0
Kaavi,I,356.0
Kajaani,I,3805.0
Kalajoki,I,994.0
Kangasala,I,2018.0
Kangasniemi,I,550.0
Kankaanpää,I,1606.0
Kannonkoski,I,142.0
Kannus,I,437.0
Karijoki,I,128.0
Karkkila,I,793.0
Karstula,I,380.0
Karvia,I,271.0
Kaskinen,I,127.0
Kauhajoki,I,1334.0
Kauhava,I,1363.0
Kauniainen,I,452.0
Kaustinen,I,285.0
Keitele,I,168.0
Kemi,I,2369.0
Kemijärvi,I,695.0
Keminmaa,I,347.0
Kimitoön,I,562.0
Kempele,I,787.0
Kerava,I,3009.0
Keuruu,I,951.0
Kihniö,I,167.0
Kinnula,I,176.0
Kirkkonummi,I,2708.0
Kitee,I,1219.0
Kittilä,I,362.0
Kiuruvesi,I,850.0
Kivijärvi,I,117.0
Kokemäki,I,769.0
Kokkola,I,3754.0
Kolari,I,306.0
Konnevesi,I,278.0
Kontiolahti,I,784.0
Korsnäs,I,151.0
Koski Tl,I,223.0
Kotka,I,5970.0
Kouvola,I,8110.0
Kristinestad,I,519.0
Kronoby,I,340.0
Kuhmo,I,861.0
Kuhmoinen,I,224.0
Kumlinge,I,25.0
Kuopio,I,13865.0
Kuortane,I,288.0
Kurikka,I,1818.0
Kustavi,I,83.0
Kuusamo,I,1302.0
Kyyjärvi,I,111.0
Kärkölä,I,384.0
Kärsämäki,I,211.0
Kökar,I,19.0
Lahti,I,14783.0
Laihia,I,418.0
Laitila,I,790.0
Lapinjärvi,I,247.0
Lapinlahti,I,900.0
Lappajärvi,I,315.0
Lappeenranta,I,10075.0
Lapua,I,1064.0
Laukaa,I,1280.0
Lemi,I,219.0
Lemland,I,131.0
Lempäälä,I,1242.0
Leppävirta,I,693.0
Lestijärvi,I,60.0
Lieksa,I,1286.0
Lieto,I,866.0
Liminka,I,543.0
Liperi,I,1024.0
Lohja,I,3285.0
Loimaa,I,1724.0
Loppi,I,550.0
Loviisa,I,1224.0
Luhanka,I,86.0
Lumijoki,I,211.0
Lumparland,I,33.0
Larsmo,I,245.0
Luumäki,I,437.0
Malax,I,368.0
Mariehamn,I,951.0
Marttila,I,149.0
Masku,I,335.0
Merijärvi,I,137.0
Merikarvia,I,315.0
Miehikkälä,I,253.0
Mikkeli,I,5198.0
Muhos,I,729.0
Multia,I,171.0
Muonio,I,187.0
Korsholm,I,701.0
Muurame,I,505.0
Mynämäki,I,432.0
Myrskylä,I,125.0
Mäntsälä,I,1281.0
Mänttä-Vilppula,I,1027.0
Mäntyharju,I,783.0
Naantali,I,1050.0
Nakkila,I,417.0
Nivala,I,1022.0
Nokia,I,2356.0
Nousiainen,I,195.0
Nurmes,I,1158.0
Nurmijärvi,I,2094.0
Närpes,I,680.0
Orimattila,I,1460.0
Oripää,I,113.0
Orivesi,I,712.0
Oulainen,I,676.0
Oulu,I,24856.0
Outokumpu,I,950.0
Padasjoki,I,268.0
Paimio,I,581.0
Paltamo,I,322.0
Pargas,I,845.0
Parikkala,I,487.0
Parkano,I,632.0
Pedersöre,I,422.0
Pelkosenniemi,I,71.0
Pello,I,276.0
Perho,I,245.0
Petäjävesi,I,315.0
Pieksämäki,I,1930.0
Pielavesi,I,488.0
Jakobstad,I,1783.0
Pihtipudas,I,425.0
Pirkkala,I,945.0
Polvijärvi,I,512.0
Pomarkku,I,205.0
Pori,I,9382.0
Pornainen,I,155.0
Porvoo,I,3469.0
Posio,I,336.0
Pudasjärvi,I,858.0
Pukkila,I,146.0
Punkalaidun,I,345.0
Puolanka,I,291.0
Puumala,I,176.0
Pyhtää,I,288.0
Pyhäjoki,I,223.0
Pyhäjärvi,I,566.0
Pyhäntä,I,143.0
Pyhäranta,I,139.0
Pälkäne,I,473.0
Pöytyä,I,671.0
Raahe,I,2093.0
Raseborg,I,2165.0
Raisio,I,1712.0
Rantasalmi,I,367.0
Ranua,I,335.0
Rauma,I,3675.0
Rautalampi,I,335.0
Rautavaara,I,192.0
Rautjärvi,I,379.0
Reisjärvi,I,266.0
Riihimäki,I,2815.0
Ristijärvi,I,114.0
Rovaniemi,I,6273.0
Ruokolahti,I,411.0
Ruovesi,I,447.0
Rusko,I,211.0
Rääkkylä,I,261.0
Saarijärvi,I,1077.0
Salla,I,347.0
Salo,I,4867.0
Saltvik,I,127.0
Sastamala,I,2154.0
Sauvo,I,201.0
Savitaipale,I,350.0
Savonlinna,I,3490.0
Savukoski,I,134.0
Seinäjoki,I,5905.0
Sievi,I,455.0
Siikainen,I,189.0
Siikajoki,I,429.0
Siikalatva,I,437.0
Siilinjärvi,I,1142.0
Simo,I,193.0
Sipoo,I,1183.0
Siuntio,I,333.0
Sodankylä,I,500.0
Soini,I,169.0
Somero,I,863.0
Sonkajärvi,I,397.0
Sotkamo,I,785.0
Sottunga,I,27.0
Sulkava,I,277.0
Sund,I,67.0
Suomussalmi,I,753.0
Suonenjoki,I,620.0
Sysmä,I,397.0
Säkylä,I,481.0
Taipalsaari,I,311.0
Taivalkoski,I,378.0
Taivassalo,I,119.0
Tammela,I,395.0
Tampere,I,34786.0
Tervo,I,135.0
Tervola,I,255.0
Teuva,I,448.0
Tohmajärvi,I,496.0
Toholampi,I,261.0
Toivakka,I,206.0
Tornio,I,1750.0
Turku,I,30790.0
Tuusniemi,I,292.0
Tuusula,I,2015.0
Tyrnävä,I,499.0
Ulvila,I,880.0
Urjala,I,457.0
Utajärvi,I,281.0
Utsjoki,I,104.0
Uurainen,I,348.0
Nykarleby,I,536.0
Uusikaupunki,I,1217.0
Vaala,I,279.0
Vaasa,I,9498.0
Valkeakoski,I,1781.0
Vantaa,I,23753.0
Varkaus,I,2436.0
Vehmaa,I,223.0
Vesanto,I,222.0
Vesilahti,I,227.0
Veteli,I,226.0
Vieremä,I,283.0
Vihti,I,1479.0
Viitasaari,I,583.0
Vimpeli,I,218.0
Virolahti,I,304.0
Virrat,I,632.0
Vårdö,I,27.0
Vörå,I,435.0
Ylitornio,I,347.0
Ylivieska,I,1330.0
Ylöjärvi,I,1740.0
Ypäjä,I,249.0
Ähtäri,I,550.0
Äänekoski,I,1945.0
MK01 Uusimaa,I,152175.0
MK02 Southwest Finland,I,50826.0
MK04 Satakunta,I,21207.0
MK05 Kanta-Häme,I,15047.0
MK06 Pirkanmaa,I,55288.0
MK07 Päijät-Häme,I,22133.0
MK08 Kymenlaakso,I,16845.0
MK09 South Karelia,I,15665.0
MK10 South Savo,I,13651.0
MK11 North Savo,I,26104.0
MK12 North Karelia,I,21802.0
MK13 Central Finland,I,33778.0
MK14 South Ostrobothnia,I,17212.0
MK15 Ostrobothnia,I,16223.0
MK16 Central Ostrobothnia,I,5368.0
MK17 North Ostrobothnia,I,42120.0
MK18 Kainuu,I,7134.0
MK19 Lapland,I,15861.0
MK21 Åland,I,2108.0
HVA01 East Uusimaa wellbeing services county,I,6634.0
HVA02 Central Uusimaa wellbeing services county,I,12339.0
HVA03 West Uusimaa wellbeing services county,I,39360.0
HVA04 Vantaa and Kerava wellbeing services county,I,26762.0
HVA05 Southwest Finland wellbeing services county,I,50826.0
HVA06 Satakunta wellbeing services county,I,21207.0
HVA07 Kanta-Häme wellbeing services county,I,15047.0
HVA08 Pirkanmaa wellbeing services county,I,55288.0
HVA09 Päijät-Häme wellbeing services county,I,22133.0
HVA10 Kymenlaakso wellbeing services county,I,16845.0
HVA11 South Karelia wellbeing services county,I,15665.0
HVA12 South Savo wellbeing services county,I,13651.0
HVA13 North Savo wellbeing services county,I,26104.0
HVA14 North Karelia wellbeing services county,I,21802.0
HVA15 Central Finland wellbeing services county,I,33778.0
HVA16 South Ostrobothnia wellbeing services county,I,17212.0
HVA17 Ostrobothnia wellbeing services county,I,16223.0
HVA18 Central Ostrobothnia wellbeing services county,I,5368.0
HVA19 North Ostrobothnia wellbeing services county,I,42120.0
HVA20 Kainuu wellbeing services county,I,7134.0
HVA21 Lapland wellbeing services county,I,15861.0
HVA90 City of Helsinki,I,67080.0
HVA91 Åland,I,2108.0
SK011 Helsinki,I,143751.0
SK014 Raasepori,I,2973.0
SK015 Porvoo,I,3980.0
SK016 Loviisa,I,1471.0
SK021 Åboland-Turunmaa,I,1407.0
SK022 Salo,I,5730.0
SK023 Turku,I,37987.0
SK024 Vakka-Suomi,I,2571.0
SK025 Loimaa,I,3131.0
SK041 Rauma,I,5508.0
SK043 Pori,I,13470.0
SK044 Pohjois-Satakunta,I,2229.0
SK051 Hämeenlinna,I,7818.0
SK052 Riihimäki,I,3898.0
SK053 Forssa,I,3331.0
SK061 Luoteis-Pirkanmaa,I,1568.0
SK063 Etelä-Pirkanmaa,I,3461.0
SK064 Tampere,I,45527.0
SK068 Lounais-Pirkanmaa,I,2499.0
SK069 Ylä-Pirkanmaa,I,2233.0
SK071 Lahti,I,22133.0
SK081 Kouvola,I,8110.0
SK082 Kotka-Hamina,I,8735.0
SK091 Lappeenranta,I,11392.0
SK093 Imatra,I,4273.0
SK101 Mikkeli,I,6911.0
SK103 Savonlinna,I,4269.0
SK105 Pieksämäki,I,2471.0
SK111 Ylä-Savo,I,5342.0
SK112 Kuopio,I,15007.0
SK113 Koillis-Savo,I,840.0
SK114 Varkaus,I,3603.0
SK115 Sisä-Savo,I,1312.0
SK122 Joensuu,I,17382.0
SK124 Keski-Karjala,I,1976.0
SK125 Pielisen Karjala,I,2444.0
SK131 Jyväskylä,I,24886.0
SK132 Joutsa,I,623.0
SK133 Keuruu,I,1122.0
SK134 Jämsä,I,1913.0
SK135 Äänekoski,I,2223.0
SK138 Saarijärvi-Viitasaari,I,3011.0
SK141 Suupohja,I,2103.0
SK142 Seinäjoki,I,11275.0
SK144 Kuusiokunnat,I,2005.0
SK146 Järviseutu,I,1829.0
SK152 Vaasa,I,11571.0
SK153 Sydösterbotten,I,1326.0
SK154 Jakobstadsregionen,I,3326.0
SK161 Kaustinen,I,1177.0
SK162 Kokkola,I,4191.0
SK171 Oulu,I,27698.0
SK173 Oulunkaari,I,2170.0
SK174 Raahe,I,2745.0
SK175 Haapavesi-Siikalatva,I,1192.0
SK176 Nivala-Haapajärvi,I,2766.0
SK177 Ylivieska,I,3869.0
SK178 Koillismaa,I,1680.0
SK181 Kehys-Kainuu,I,2108.0
SK182 Kajaani,I,5026.0
SK191 Rovaniemi,I,6608.0
SK192 Kemi-Tornio,I,4914.0
SK193 Torniolaakso,I,623.0
SK194 Itä-Lappi,I,1583.0
SK196 Tunturi-Lappi,I,1054.0
SK197 Pohjois-Lappi,I,1079.0
SK211 Mariehamns stad,I,951.0
SK212 Ålands landsbygd,I,981.0
SK213 Ålands skärgård,I,176.0
Akaa,II,1639.0
Alajärvi,II,1240.0
Alavieska,II,311.0
Alavus,II,1407.0
Asikkala,II,846.0
Askola,II,334.0
Aura,II,313.0
Brändö,II,18.0
Eckerö,II,47.0
Enonkoski,II,128.0
Enontekiö,II,182.0
Espoo,II,24249.0
Eura,II,998.0
Eurajoki,II,620.0
Evijärvi,II,208.0
Finström,II,153.0
Forssa,II,2043.0
Föglö,II,23.0
Geta,II,50.0
Haapajärvi,II,774.0
Haapavesi,II,760.0
Hailuoto,II,97.0
Halsua,II,116.0
Hamina,II,1853.0
Hammarland,II,110.0
Hankasalmi,II,508.0
Hanko,II,693.0
Harjavalta,II,729.0
Hartola,II,334.0
Hattula,II,645.0
Hausjärvi,II,651.0
Heinola,II,2311.0
Heinävesi,II,380.0
Helsinki,II,62055.0
Hirvensalmi,II,233.0
Hollola,II,2014.0
Huittinen,II,1070.0
Humppila,II,274.0
Hyrynsalmi,II,255.0
Hyvinkää,II,4056.0
Hämeenkyrö,II,968.0
Hämeenlinna,II,7101.0
Ii,II,1171.0
Iisalmi,II,2319.0
Iitti,II,736.0
Ikaalinen,II,782.0
Ilmajoki,II,1075.0
Ilomantsi,II,590.0
Imatra,II,2782.0
Inari,II,561.0
Ingå,II,337.0
Isojoki,II,201.0
Isokyrö,II,456.0
Janakkala,II,1447.0
Joensuu,II,9195.0
Jokioinen,II,430.0
Jomala,II,170.0
Joroinen,II,498.0
Joutsa,II,471.0
Juuka,II,582.0
Juupajoki,II,181.0
Juva,II,668.0
Jyväskylä,II,15892.0
Jämijärvi,II,204.0
Jämsä,II,2173.0
Järvenpää,II,3761.0
Kaarina,II,2298.0
Kaavi,II,345.0
Kajaani,II,3792.0
Kalajoki,II,1216.0
Kangasala,II,2691.0
Kangasniemi,II,627.0
Kankaanpää,II,1509.0
Kannonkoski,II,189.0
Kannus,II,551.0
Karijoki,II,120.0
Karkkila,II,911.0
Karstula,II,479.0
Karvia,II,287.0
Kaskinen,II,169.0
Kauhajoki,II,1614.0
