Area,Education,value
Brändö,6 Bachelor's or equivalent level,52.0
Brändö,7 Master's or equivalent level,41.0
Brändö,8 Doctoral or equivalent level,5.0
Brändö,9 Basic education,119.0
Eckerö,Total,819.0
Eckerö,3-8 A post-comprehensive level qualification,553.0
Eckerö,3 Upper secondary education,363.0
Eckerö,4 Post-secondary non-tertiary education,10.0
Eckerö,5 Short-cycle tertiary education,53.0
Eckerö,6 Bachelor's or equivalent level,80.0
Eckerö,7 Master's or equivalent level,45.0
Eckerö,8 Doctoral or equivalent level,2.0
Eckerö,9 Basic education,266.0
Enonkoski,Total,1131.0
Enonkoski,3-8 A post-comprehensive level qualification,796.0
Enonkoski,3 Upper secondary education,545.0
Enonkoski,4 Post-secondary non-tertiary education,14.0
Enonkoski,5 Short-cycle tertiary education,89.0
Enonkoski,6 Bachelor's or equivalent level,94.0
Enonkoski,7 Master's or equivalent level,46.0
Enonkoski,8 Doctoral or equivalent level,8.0
Enonkoski,9 Basic education,335.0
Enontekiö,Total,1568.0
Enontekiö,3-8 A post-comprehensive level qualification,1172.0
Enontekiö,3 Upper secondary education,775.0
Enontekiö,4 Post-secondary non-tertiary education,17.0
Enontekiö,5 Short-cycle tertiary education,121.0
Enontekiö,6 Bachelor's or equivalent level,147.0
Enontekiö,7 Master's or equivalent level,95.0
Enontekiö,8 Doctoral or equivalent level,17.0
Enontekiö,9 Basic education,396.0
Espoo,Total,264761.0
Espoo,3-8 A post-comprehensive level qualification,198997.0
Espoo,3 Upper secondary education,71137.0
Espoo,4 Post-secondary non-tertiary education,2126.0
Espoo,5 Short-cycle tertiary education,18691.0
Espoo,6 Bachelor's or equivalent level,41814.0
Espoo,7 Master's or equivalent level,58266.0
Espoo,8 Doctoral or equivalent level,6963.0
Espoo,9 Basic education,65764.0
Eura,Total,9521.0
Eura,3-8 A post-comprehensive level qualification,6669.0
Eura,3 Upper secondary education,4282.0
Eura,4 Post-secondary non-tertiary education,139.0
Eura,5 Short-cycle tertiary education,879.0
Eura,6 Bachelor's or equivalent level,880.0
Eura,7 Master's or equivalent level,468.0
Eura,8 Doctoral or equivalent level,21.0
Eura,9 Basic education,2852.0
Eurajoki,Total,7684.0
Eurajoki,3-8 A post-comprehensive level qualification,5656.0
Eurajoki,3 Upper secondary education,3295.0
Eurajoki,4 Post-secondary non-tertiary education,136.0
Eurajoki,5 Short-cycle tertiary education,728.0
Eurajoki,6 Bachelor's or equivalent level,935.0
Eurajoki,7 Master's or equivalent level,537.0
Eurajoki,8 Doctoral or equivalent level,25.0
Eurajoki,9 Basic education,2028.0
Evijärvi,Total,1932.0
Evijärvi,3-8 A post-comprehensive level qualification,1322.0
Evijärvi,3 Upper secondary education,904.0
Evijärvi,4 Post-secondary non-tertiary education,44.0
Evijärvi,5 Short-cycle tertiary education,126.0
Evijärvi,6 Bachelor's or equivalent level,168.0
Evijärvi,7 Master's or equivalent level,78.0
Evijärvi,8 Doctoral or equivalent level,2.0
Evijärvi,9 Basic education,610.0
Finström,Total,2187.0
Finström,3-8 A post-comprehensive level qualification,1470.0
Finström,3 Upper secondary education,933.0
Finström,4 Post-secondary non-tertiary education,23.0
Finström,5 Short-cycle tertiary education,173.0
Finström,6 Bachelor's or equivalent level,219.0
Finström,7 Master's or equivalent level,116.0
Finström,8 Doctoral or equivalent level,6.0
Finström,9 Basic education,717.0
Forssa,Total,14700.0
Forssa,3-8 A post-comprehensive level qualification,10108.0
Forssa,3 Upper secondary education,6442.0
Forssa,4 Post-secondary non-tertiary education,217.0
Forssa,5 Short-cycle tertiary education,1470.0
Forssa,6 Bachelor's or equivalent level,1227.0
Forssa,7 Master's or equivalent level,704.0
Forssa,8 Doctoral or equivalent level,48.0
Forssa,9 Basic education,4592.0
Föglö,Total,426.0
Föglö,3-8 A post-comprehensive level qualification,271.0
Föglö,3 Upper secondary education,182.0
Föglö,4 Post-secondary non-tertiary education,5.0
Föglö,5 Short-cycle tertiary education,20.0
Föglö,6 Bachelor's or equivalent level,34.0
Föglö,7 Master's or equivalent level,30.0
Föglö,8 Doctoral or equivalent level,0.0
Föglö,9 Basic education,155.0
Geta,Total,430.0
Geta,3-8 A post-comprehensive level qualification,271.0
Geta,3 Upper secondary education,182.0
Geta,4 Post-secondary non-tertiary education,3.0
Geta,5 Short-cycle tertiary education,31.0
Geta,6 Bachelor's or equivalent level,37.0
Geta,7 Master's or equivalent level,17.0
Geta,8 Doctoral or equivalent level,1.0
Geta,9 Basic education,159.0
Haapajärvi,Total,5424.0
Haapajärvi,3-8 A post-comprehensive level qualification,3798.0
Haapajärvi,3 Upper secondary education,2573.0
Haapajärvi,4 Post-secondary non-tertiary education,63.0
Haapajärvi,5 Short-cycle tertiary education,413.0
Haapajärvi,6 Bachelor's or equivalent level,507.0
Haapajärvi,7 Master's or equivalent level,236.0
Haapajärvi,8 Doctoral or equivalent level,6.0
Haapajärvi,9 Basic education,1626.0
Haapavesi,Total,5194.0
Haapavesi,3-8 A post-comprehensive level qualification,3739.0
Haapavesi,3 Upper secondary education,2732.0
Haapavesi,4 Post-secondary non-tertiary education,59.0
Haapavesi,5 Short-cycle tertiary education,325.0
Haapavesi,6 Bachelor's or equivalent level,414.0
Haapavesi,7 Master's or equivalent level,199.0
Haapavesi,8 Doctoral or equivalent level,10.0
Haapavesi,9 Basic education,1455.0
Hailuoto,Total,824.0
Hailuoto,3-8 A post-comprehensive level qualification,649.0
Hailuoto,3 Upper secondary education,347.0
Hailuoto,4 Post-secondary non-tertiary education,11.0
Hailuoto,5 Short-cycle tertiary education,113.0
Hailuoto,6 Bachelor's or equivalent level,107.0
Hailuoto,7 Master's or equivalent level,62.0
Hailuoto,8 Doctoral or equivalent level,9.0
Hailuoto,9 Basic education,175.0
Halsua,Total,852.0
Halsua,3-8 A post-comprehensive level qualification,546.0
Halsua,3 Upper secondary education,377.0
Halsua,4 Post-secondary non-tertiary education,6.0
Halsua,5 Short-cycle tertiary education,69.0
Halsua,6 Bachelor's or equivalent level,64.0
Halsua,7 Master's or equivalent level,29.0
Halsua,8 Doctoral or equivalent level,1.0
Halsua,9 Basic education,306.0
Hamina,Total,17065.0
Hamina,3-8 A post-comprehensive level qualification,12455.0
Hamina,3 Upper secondary education,7772.0
Hamina,4 Post-secondary non-tertiary education,199.0
Hamina,5 Short-cycle tertiary education,1793.0
Hamina,6 Bachelor's or equivalent level,1646.0
Hamina,7 Master's or equivalent level,1004.0
Hamina,8 Doctoral or equivalent level,41.0
Hamina,9 Basic education,4610.0
Hammarland,Total,1373.0
Hammarland,3-8 A post-comprehensive level qualification,961.0
Hammarland,3 Upper secondary education,607.0
Hammarland,4 Post-secondary non-tertiary education,12.0
Hammarland,5 Short-cycle tertiary education,114.0
Hammarland,6 Bachelor's or equivalent level,146.0
Hammarland,7 Master's or equivalent level,82.0
Hammarland,8 Doctoral or equivalent level,0.0
Hammarland,9 Basic education,412.0
Hankasalmi,Total,3951.0
Hankasalmi,3-8 A post-comprehensive level qualification,2817.0
Hankasalmi,3 Upper secondary education,1912.0
Hankasalmi,4 Post-secondary non-tertiary education,60.0
Hankasalmi,5 Short-cycle tertiary education,331.0
Hankasalmi,6 Bachelor's or equivalent level,305.0
Hankasalmi,7 Master's or equivalent level,190.0
Hankasalmi,8 Doctoral or equivalent level,19.0
Hankasalmi,9 Basic education,1134.0
Hanko,Total,6905.0
Hanko,3-8 A post-comprehensive level qualification,4469.0
Hanko,3 Upper secondary education,2647.0
Hanko,4 Post-secondary non-tertiary education,107.0
Hanko,5 Short-cycle tertiary education,669.0
Hanko,6 Bachelor's or equivalent level,549.0
Hanko,7 Master's or equivalent level,460.0
Hanko,8 Doctoral or equivalent level,37.0
Hanko,9 Basic education,2436.0
Harjavalta,Total,5784.0
Harjavalta,3-8 A post-comprehensive level qualification,4082.0
Harjavalta,3 Upper secondary education,2636.0
Harjavalta,4 Post-secondary non-tertiary education,75.0
Harjavalta,5 Short-cycle tertiary education,579.0
Harjavalta,6 Bachelor's or equivalent level,505.0
Harjavalta,7 Master's or equivalent level,270.0
Harjavalta,8 Doctoral or equivalent level,17.0
Harjavalta,9 Basic education,1702.0
Hartola,Total,2246.0
Hartola,3-8 A post-comprehensive level qualification,1466.0
Hartola,3 Upper secondary education,992.0
Hartola,4 Post-secondary non-tertiary education,27.0
Hartola,5 Short-cycle tertiary education,208.0
Hartola,6 Bachelor's or equivalent level,141.0
Hartola,7 Master's or equivalent level,91.0
Hartola,8 Doctoral or equivalent level,7.0
Hartola,9 Basic education,780.0
Hattula,Total,7882.0
Hattula,3-8 A post-comprehensive level qualification,6152.0
Hattula,3 Upper secondary education,3354.0
Hattula,4 Post-secondary non-tertiary education,165.0
Hattula,5 Short-cycle tertiary education,925.0
Hattula,6 Bachelor's or equivalent level,1024.0
Hattula,7 Master's or equivalent level,642.0
Hattula,8 Doctoral or equivalent level,42.0
Hattula,9 Basic education,1730.0
Hausjärvi,Total,6714.0
Hausjärvi,3-8 A post-comprehensive level qualification,4966.0
Hausjärvi,3 Upper secondary education,3083.0
Hausjärvi,4 Post-secondary non-tertiary education,119.0
Hausjärvi,5 Short-cycle tertiary education,601.0
Hausjärvi,6 Bachelor's or equivalent level,701.0
Hausjärvi,7 Master's or equivalent level,431.0
Hausjärvi,8 Doctoral or equivalent level,31.0
Hausjärvi,9 Basic education,1748.0
Heinola,Total,16082.0
Heinola,3-8 A post-comprehensive level qualification,11435.0
Heinola,3 Upper secondary education,7164.0
Heinola,4 Post-secondary non-tertiary education,224.0
Heinola,5 Short-cycle tertiary education,1759.0
Heinola,6 Bachelor's or equivalent level,1364.0
Heinola,7 Master's or equivalent level,858.0
Heinola,8 Doctoral or equivalent level,66.0
Heinola,9 Basic education,4647.0
Heinävesi,Total,2682.0
Heinävesi,3-8 A post-comprehensive level qualification,1806.0
Heinävesi,3 Upper secondary education,1170.0
Heinävesi,4 Post-secondary non-tertiary education,28.0
Heinävesi,5 Short-cycle tertiary education,274.0
Heinävesi,6 Bachelor's or equivalent level,208.0
Heinävesi,7 Master's or equivalent level,115.0
Heinävesi,8 Doctoral or equivalent level,11.0
Heinävesi,9 Basic education,876.0
Helsinki,Total,588243.0
Helsinki,3-8 A post-comprehensive level qualification,450876.0
Helsinki,3 Upper secondary education,174683.0
Helsinki,4 Post-secondary non-tertiary education,4462.0
Helsinki,5 Short-cycle tertiary education,37363.0
Helsinki,6 Bachelor's or equivalent level,93812.0
Helsinki,7 Master's or equivalent level,125937.0
Helsinki,8 Doctoral or equivalent level,14619.0
Helsinki,9 Basic education,137367.0
Hirvensalmi,Total,1852.0
Hirvensalmi,3-8 A post-comprehensive level qualification,1299.0
Hirvensalmi,3 Upper secondary education,847.0
Hirvensalmi,4 Post-secondary non-tertiary education,23.0
Hirvensalmi,5 Short-cycle tertiary education,163.0
Hirvensalmi,6 Bachelor's or equivalent level,165.0
Hirvensalmi,7 Master's or equivalent level,96.0
Hirvensalmi,8 Doctoral or equivalent level,5.0
Hirvensalmi,9 Basic education,553.0
Hollola,Total,19226.0
Hollola,3-8 A post-comprehensive level qualification,14562.0
Hollola,3 Upper secondary education,8012.0
Hollola,4 Post-secondary non-tertiary education,329.0
Hollola,5 Short-cycle tertiary education,2090.0
Hollola,6 Bachelor's or equivalent level,2501.0
Hollola,7 Master's or equivalent level,1551.0
Hollola,8 Doctoral or equivalent level,79.0
Hollola,9 Basic education,4664.0
Huittinen,Total,8314.0
Huittinen,3-8 A post-comprehensive level qualification,5912.0
Huittinen,3 Upper secondary education,3758.0
Huittinen,4 Post-secondary non-tertiary education,113.0
Huittinen,5 Short-cycle tertiary education,799.0
Huittinen,6 Bachelor's or equivalent level,795.0
Huittinen,7 Master's or equivalent level,433.0
Huittinen,8 Doctoral or equivalent level,14.0
Huittinen,9 Basic education,2402.0
Humppila,Total,1839.0
Humppila,3-8 A post-comprehensive level qualification,1307.0
Humppila,3 Upper secondary education,866.0
Humppila,4 Post-secondary non-tertiary education,47.0
Humppila,5 Short-cycle tertiary education,166.0
Humppila,6 Bachelor's or equivalent level,130.0
Humppila,7 Master's or equivalent level,93.0
Humppila,8 Doctoral or equivalent level,5.0
Humppila,9 Basic education,532.0
Hyrynsalmi,Total,1831.0
Hyrynsalmi,3-8 A post-comprehensive level qualification,1255.0
Hyrynsalmi,3 Upper secondary education,930.0
Hyrynsalmi,4 Post-secondary non-tertiary education,10.0
Hyrynsalmi,5 Short-cycle tertiary education,143.0
Hyrynsalmi,6 Bachelor's or equivalent level,110.0
Hyrynsalmi,7 Master's or equivalent level,60.0
Hyrynsalmi,8 Doctoral or equivalent level,2.0
Hyrynsalmi,9 Basic education,576.0
Hyvinkää,Total,40434.0
Hyvinkää,3-8 A post-comprehensive level qualification,29972.0
Hyvinkää,3 Upper secondary education,16303.0
Hyvinkää,4 Post-secondary non-tertiary education,593.0
Hyvinkää,5 Short-cycle tertiary education,3932.0
Hyvinkää,6 Bachelor's or equivalent level,5142.0
Hyvinkää,7 Master's or equivalent level,3764.0
Hyvinkää,8 Doctoral or equivalent level,238.0
Hyvinkää,9 Basic education,10462.0
Hämeenkyrö,Total,8686.0
Hämeenkyrö,3-8 A post-comprehensive level qualification,6583.0
Hämeenkyrö,3 Upper secondary education,4222.0
Hämeenkyrö,4 Post-secondary non-tertiary education,152.0
Hämeenkyrö,5 Short-cycle tertiary education,787.0
Hämeenkyrö,6 Bachelor's or equivalent level,878.0
Hämeenkyrö,7 Master's or equivalent level,507.0
Hämeenkyrö,8 Doctoral or equivalent level,37.0
Hämeenkyrö,9 Basic education,2103.0
Hämeenlinna,Total,59161.0
Hämeenlinna,3-8 A post-comprehensive level qualification,44768.0
Hämeenlinna,3 Upper secondary education,23934.0
Hämeenlinna,4 Post-secondary non-tertiary education,849.0
Hämeenlinna,5 Short-cycle tertiary education,6251.0
Hämeenlinna,6 Bachelor's or equivalent level,7391.0
Hämeenlinna,7 Master's or equivalent level,5926.0
Hämeenlinna,8 Doctoral or equivalent level,417.0
Hämeenlinna,9 Basic education,14393.0
Ii,Total,7803.0
Ii,3-8 A post-comprehensive level qualification,5902.0
Ii,3 Upper secondary education,3830.0
Ii,4 Post-secondary non-tertiary education,120.0
Ii,5 Short-cycle tertiary education,586.0
Ii,6 Bachelor's or equivalent level,913.0
Ii,7 Master's or equivalent level,423.0
Ii,8 Doctoral or equivalent level,30.0
Ii,9 Basic education,1901.0
Iisalmi,Total,17676.0
Iisalmi,3-8 A post-comprehensive level qualification,13299.0
Iisalmi,3 Upper secondary education,8400.0
Iisalmi,4 Post-secondary non-tertiary education,278.0
Iisalmi,5 Short-cycle tertiary education,1644.0
Iisalmi,6 Bachelor's or equivalent level,1851.0
Iisalmi,7 Master's or equivalent level,1084.0
Iisalmi,8 Doctoral or equivalent level,42.0
Iisalmi,9 Basic education,4377.0
Iitti,Total,5568.0
Iitti,3-8 A post-comprehensive level qualification,4026.0
Iitti,3 Upper secondary education,2492.0
Iitti,4 Post-secondary non-tertiary education,80.0
Iitti,5 Short-cycle tertiary education,534.0
Iitti,6 Bachelor's or equivalent level,567.0
Iitti,7 Master's or equivalent level,335.0
Iitti,8 Doctoral or equivalent level,18.0
Iitti,9 Basic education,1542.0
Ikaalinen,Total,5876.0
Ikaalinen,3-8 A post-comprehensive level qualification,4244.0
Ikaalinen,3 Upper secondary education,2631.0
Ikaalinen,4 Post-secondary non-tertiary education,104.0
Ikaalinen,5 Short-cycle tertiary education,636.0
Ikaalinen,6 Bachelor's or equivalent level,549.0
Ikaalinen,7 Master's or equivalent level,306.0
Ikaalinen,8 Doctoral or equivalent level,18.0
Ikaalinen,9 Basic education,1632.0
Ilmajoki,Total,10124.0
Ilmajoki,3-8 A post-comprehensive level qualification,7810.0
Ilmajoki,3 Upper secondary education,4784.0
Ilmajoki,4 Post-secondary non-tertiary education,141.0
Ilmajoki,5 Short-cycle tertiary education,814.0
Ilmajoki,6 Bachelor's or equivalent level,1417.0
Ilmajoki,7 Master's or equivalent level,631.0
Ilmajoki,8 Doctoral or equivalent level,23.0
Ilmajoki,9 Basic education,2314.0
Ilomantsi,Total,4033.0
Ilomantsi,3-8 A post-comprehensive level qualification,2733.0
Ilomantsi,3 Upper secondary education,1988.0
Ilomantsi,4 Post-secondary non-tertiary education,44.0
Ilomantsi,5 Short-cycle tertiary education,305.0
Ilomantsi,6 Bachelor's or equivalent level,243.0
Ilomantsi,7 Master's or equivalent level,138.0
Ilomantsi,8 Doctoral or equivalent level,15.0
Ilomantsi,9 Basic education,1300.0
Imatra,Total,21977.0
Imatra,3-8 A post-comprehensive level qualification,15751.0
Imatra,3 Upper secondary education,10163.0
Imatra,4 Post-secondary non-tertiary education,254.0
Imatra,5 Short-cycle tertiary education,1987.0
Imatra,6 Bachelor's or equivalent level,1996.0
Imatra,7 Master's or equivalent level,1276.0
Imatra,8 Doctoral or equivalent level,75.0
Imatra,9 Basic education,6226.0
Inari,Total,6400.0
Inari,3-8 A post-comprehensive level qualification,4793.0
Inari,3 Upper secondary education,2919.0
Inari,4 Post-secondary non-tertiary education,102.0
Inari,5 Short-cycle tertiary education,515.0
Inari,6 Bachelor's or equivalent level,724.0
Inari,7 Master's or equivalent level,504.0
Inari,8 Doctoral or equivalent level,29.0
Inari,9 Basic education,1607.0
Ingå,Total,4643.0
Ingå,3-8 A post-comprehensive level qualification,3513.0
Ingå,3 Upper secondary education,1702.0
Ingå,4 Post-secondary non-tertiary education,43.0
Ingå,5 Short-cycle tertiary education,524.0
Ingå,6 Bachelor's or equivalent level,623.0
Ingå,7 Master's or equivalent level,569.0
Ingå,8 Doctoral or equivalent level,52.0
Ingå,9 Basic education,1130.0
Isojoki,Total,1593.0
Isojoki,3-8 A post-comprehensive level qualification,1063.0
Isojoki,3 Upper secondary education,764.0
Isojoki,4 Post-secondary non-tertiary education,16.0
Isojoki,5 Short-cycle tertiary education,115.0
Isojoki,6 Bachelor's or equivalent level,111.0
Isojoki,7 Master's or equivalent level,53.0
Isojoki,8 Doctoral or equivalent level,4.0
Isojoki,9 Basic education,530.0
Isokyrö,Total,3684.0
Isokyrö,3-8 A post-comprehensive level qualification,2716.0
Isokyrö,3 Upper secondary education,1702.0
Isokyrö,4 Post-secondary non-tertiary education,39.0
Isokyrö,5 Short-cycle tertiary education,372.0
Isokyrö,6 Bachelor's or equivalent level,385.0
Isokyrö,7 Master's or equivalent level,206.0
Isokyrö,8 Doctoral or equivalent level,12.0
Isokyrö,9 Basic education,968.0
Janakkala,Total,13612.0
Janakkala,3-8 A post-comprehensive level qualification,10075.0
Janakkala,3 Upper secondary education,6151.0
Janakkala,4 Post-secondary non-tertiary education,220.0
Janakkala,5 Short-cycle tertiary education,1274.0
Janakkala,6 Bachelor's or equivalent level,1517.0
Janakkala,7 Master's or equivalent level,875.0
Janakkala,8 Doctoral or equivalent level,38.0
Janakkala,9 Basic education,3537.0
Joensuu,Total,68813.0
Joensuu,3-8 A post-comprehensive level qualification,54348.0
Joensuu,3 Upper secondary education,30396.0
Joensuu,4 Post-secondary non-tertiary education,649.0
Joensuu,5 Short-cycle tertiary education,5319.0
Joensuu,6 Bachelor's or equivalent level,9775.0
Joensuu,7 Master's or equivalent level,7261.0
Joensuu,8 Doctoral or equivalent level,948.0
Joensuu,9 Basic education,14465.0
Jokioinen,Total,4180.0
Jokioinen,3-8 A post-comprehensive level qualification,3059.0
Jokioinen,3 Upper secondary education,1849.0
Jokioinen,4 Post-secondary non-tertiary education,65.0
Jokioinen,5 Short-cycle tertiary education,467.0
Jokioinen,6 Bachelor's or equivalent level,362.0
Jokioinen,7 Master's or equivalent level,261.0
Jokioinen,8 Doctoral or equivalent level,55.0
Jokioinen,9 Basic education,1121.0
Jomala,Total,4658.0
Jomala,3-8 A post-comprehensive level qualification,3460.0
Jomala,3 Upper secondary education,1805.0
Jomala,4 Post-secondary non-tertiary education,44.0
Jomala,5 Short-cycle tertiary education,422.0
Jomala,6 Bachelor's or equivalent level,753.0
Jomala,7 Master's or equivalent level,424.0
Jomala,8 Doctoral or equivalent level,12.0
Jomala,9 Basic education,1198.0
Joroinen,Total,3988.0
Joroinen,3-8 A post-comprehensive level qualification,2888.0
Joroinen,3 Upper secondary education,1862.0
Joroinen,4 Post-secondary non-tertiary education,59.0
Joroinen,5 Short-cycle tertiary education,366.0
Joroinen,6 Bachelor's or equivalent level,392.0
Joroinen,7 Master's or equivalent level,195.0
Joroinen,8 Doctoral or equivalent level,14.0
Joroinen,9 Basic education,1100.0
Joutsa,Total,3700.0
Joutsa,3-8 A post-comprehensive level qualification,2472.0
Joutsa,3 Upper secondary education,1656.0
Joutsa,4 Post-secondary non-tertiary education,46.0
Joutsa,5 Short-cycle tertiary education,297.0
Joutsa,6 Bachelor's or equivalent level,309.0
Joutsa,7 Master's or equivalent level,157.0
Joutsa,8 Doctoral or equivalent level,7.0
Joutsa,9 Basic education,1228.0
Juuka,Total,3815.0
Juuka,3-8 A post-comprehensive level qualification,2579.0
Juuka,3 Upper secondary education,1854.0
Juuka,4 Post-secondary non-tertiary education,39.0
Juuka,5 Short-cycle tertiary education,293.0
Juuka,6 Bachelor's or equivalent level,244.0
Juuka,7 Master's or equivalent level,140.0
Juuka,8 Doctoral or equivalent level,9.0
Juuka,9 Basic education,1236.0
Juupajoki,Total,1465.0
Juupajoki,3-8 A post-comprehensive level qualification,1020.0
Juupajoki,3 Upper secondary education,661.0
Juupajoki,4 Post-secondary non-tertiary education,26.0
Juupajoki,5 Short-cycle tertiary education,123.0
Juupajoki,6 Bachelor's or equivalent level,125.0
Juupajoki,7 Master's or equivalent level,77.0
Juupajoki,8 Doctoral or equivalent level,8.0
Juupajoki,9 Basic education,445.0
Juva,Total,5068.0
Juva,3-8 A post-comprehensive level qualification,3589.0
Juva,3 Upper secondary education,2424.0
Juva,4 Post-secondary non-tertiary education,63.0
Juva,5 Short-cycle tertiary education,396.0
Juva,6 Bachelor's or equivalent level,424.0
Juva,7 Master's or equivalent level,267.0
Juva,8 Doctoral or equivalent level,15.0
Juva,9 Basic education,1479.0
Jyväskylä,Total,128447.0
Jyväskylä,3-8 A post-comprehensive level qualification,103003.0
Jyväskylä,3 Upper secondary education,52237.0
Jyväskylä,4 Post-secondary non-tertiary education,1488.0
Jyväskylä,5 Short-cycle tertiary education,9847.0
Jyväskylä,6 Bachelor's or equivalent level,20435.0
Jyväskylä,7 Master's or equivalent level,16697.0
Jyväskylä,8 Doctoral or equivalent level,2299.0
Jyväskylä,9 Basic education,25444.0
Jämijärvi,Total,1417.0
Jämijärvi,3-8 A post-comprehensive level qualification,1016.0
Jämijärvi,3 Upper secondary education,691.0
Jämijärvi,4 Post-secondary non-tertiary education,22.0
Jämijärvi,5 Short-cycle tertiary education,127.0
Jämijärvi,6 Bachelor's or equivalent level,115.0
Jämijärvi,7 Master's or equivalent level,61.0
Jämijärvi,8 Doctoral or equivalent level,0.0
Jämijärvi,9 Basic education,401.0
Jämsä,Total,17006.0
Jämsä,3-8 A post-comprehensive level qualification,12406.0
Jämsä,3 Upper secondary education,8049.0
Jämsä,4 Post-secondary non-tertiary education,228.0
Jämsä,5 Short-cycle tertiary education,1893.0
Jämsä,6 Bachelor's or equivalent level,1318.0
Jämsä,7 Master's or equivalent level,856.0
Jämsä,8 Doctoral or equivalent level,62.0
Jämsä,9 Basic education,4600.0
Järvenpää,Total,39450.0
Järvenpää,3-8 A post-comprehensive level qualification,29619.0
Järvenpää,3 Upper secondary education,14987.0
Järvenpää,4 Post-secondary non-tertiary education,641.0
Järvenpää,5 Short-cycle tertiary education,3587.0
Järvenpää,6 Bachelor's or equivalent level,5532.0
Järvenpää,7 Master's or equivalent level,4523.0
Järvenpää,8 Doctoral or equivalent level,349.0
Järvenpää,9 Basic education,9831.0
Kaarina,Total,29984.0
Kaarina,3-8 A post-comprehensive level qualification,23682.0
Kaarina,3 Upper secondary education,10630.0
Kaarina,4 Post-secondary non-tertiary education,421.0
Kaarina,5 Short-cycle tertiary education,2865.0
Kaarina,6 Bachelor's or equivalent level,4727.0
Kaarina,7 Master's or equivalent level,4476.0
Kaarina,8 Doctoral or equivalent level,563.0
Kaarina,9 Basic education,6302.0
Kaavi,Total,2324.0
Kaavi,3-8 A post-comprehensive level qualification,1564.0
Kaavi,3 Upper secondary education,1166.0
Kaavi,4 Post-secondary non-tertiary education,39.0
Kaavi,5 Short-cycle tertiary education,164.0
Kaavi,6 Bachelor's or equivalent level,134.0
Kaavi,7 Master's or equivalent level,57.0
Kaavi,8 Doctoral or equivalent level,4.0
Kaavi,9 Basic education,760.0
Kajaani,Total,31226.0
Kajaani,3-8 A post-comprehensive level qualification,23909.0
Kajaani,3 Upper secondary education,13919.0
Kajaani,4 Post-secondary non-tertiary education,359.0
Kajaani,5 Short-cycle tertiary education,2912.0
Kajaani,6 Bachelor's or equivalent level,4171.0
