Area,Age,value
Alajärvi,4,67.0
Alajärvi,5,82.0
Alajärvi,6,89.0
Alajärvi,7,91.0
Alajärvi,8,102.0
Alajärvi,9,107.0
Alajärvi,10,107.0
Alajärvi,11,111.0
Alajärvi,12,105.0
Alajärvi,13,124.0
Alajärvi,14,123.0
Alajärvi,15,137.0
Alajärvi,16,119.0
Alajärvi,17,129.0
Alajärvi,18,127.0
Alajärvi,19,113.0
Alajärvi,20,71.0
Alajärvi,21,75.0
Alajärvi,22,62.0
Alajärvi,23,49.0
Alajärvi,24,59.0
Alajärvi,25,55.0
Alajärvi,26,74.0
Alajärvi,27,76.0
Alajärvi,28,57.0
Alajärvi,29,62.0
Alajärvi,30,53.0
Alajärvi,31,69.0
Alajärvi,32,62.0
Alajärvi,33,78.0
Alajärvi,34,87.0
Alajärvi,35,76.0
Alajärvi,36,88.0
Alajärvi,37,78.0
Alajärvi,38,100.0
Alajärvi,39,83.0
Alajärvi,40,72.0
Alajärvi,41,98.0
Alajärvi,42,100.0
Alajärvi,43,83.0
Alajärvi,44,96.0
Alajärvi,45,105.0
Alajärvi,46,101.0
Alajärvi,47,91.0
Alajärvi,48,99.0
Alajärvi,49,116.0
Alajärvi,50,104.0
Alajärvi,51,100.0
Alajärvi,52,87.0
Alajärvi,53,102.0
Alajärvi,54,88.0
Alajärvi,55,88.0
Alajärvi,56,98.0
Alajärvi,57,102.0
Alajärvi,58,140.0
Alajärvi,59,120.0
Alajärvi,60,133.0
Alajärvi,61,114.0
Alajärvi,62,161.0
Alajärvi,63,126.0
Alajärvi,64,130.0
Alajärvi,65,166.0
Alajärvi,66,147.0
Alajärvi,67,151.0
Alajärvi,68,147.0
Alajärvi,69,160.0
Alajärvi,70,128.0
Alajärvi,71,148.0
Alajärvi,72,138.0
Alajärvi,73,151.0
Alajärvi,74,163.0
Alajärvi,75,156.0
Alajärvi,76,143.0
Alajärvi,77,146.0
Alajärvi,78,119.0
Alajärvi,79,95.0
Alajärvi,80,100.0
Alajärvi,81,70.0
Alajärvi,82,72.0
Alajärvi,83,53.0
Alajärvi,84,73.0
Alajärvi,85,43.0
Alajärvi,86,61.0
Alajärvi,87,47.0
Alajärvi,88,47.0
Alajärvi,89,40.0
Alajärvi,90,36.0
Alajärvi,91,26.0
Alajärvi,92,24.0
Alajärvi,93,14.0
Alajärvi,94,13.0
Alajärvi,95,14.0
Alajärvi,96,10.0
Alajärvi,97,4.0
Alajärvi,98,5.0
Alajärvi,99,6.0
Alajärvi,100 -,0.0
Alavieska,Total,2384.0
Alavieska,0,18.0
Alavieska,1,21.0
Alavieska,2,27.0
Alavieska,3,19.0
Alavieska,4,23.0
Alavieska,5,25.0
Alavieska,6,23.0
Alavieska,7,35.0
Alavieska,8,29.0
Alavieska,9,22.0
Alavieska,10,35.0
Alavieska,11,36.0
Alavieska,12,34.0
Alavieska,13,39.0
Alavieska,14,38.0
Alavieska,15,37.0
Alavieska,16,32.0
Alavieska,17,39.0
Alavieska,18,36.0
Alavieska,19,25.0
Alavieska,20,18.0
Alavieska,21,9.0
Alavieska,22,23.0
Alavieska,23,23.0
Alavieska,24,15.0
Alavieska,25,13.0
Alavieska,26,14.0
Alavieska,27,23.0
Alavieska,28,19.0
Alavieska,29,27.0
Alavieska,30,17.0
Alavieska,31,21.0
Alavieska,32,26.0
Alavieska,33,31.0
Alavieska,34,24.0
Alavieska,35,34.0
Alavieska,36,21.0
Alavieska,37,21.0
Alavieska,38,32.0
Alavieska,39,27.0
Alavieska,40,27.0
Alavieska,41,23.0
Alavieska,42,24.0
Alavieska,43,28.0
Alavieska,44,31.0
Alavieska,45,24.0
Alavieska,46,33.0
Alavieska,47,23.0
Alavieska,48,23.0
Alavieska,49,21.0
Alavieska,50,31.0
Alavieska,51,18.0
Alavieska,52,17.0
Alavieska,53,22.0
Alavieska,54,31.0
Alavieska,55,24.0
Alavieska,56,30.0
Alavieska,57,26.0
Alavieska,58,33.0
Alavieska,59,40.0
Alavieska,60,30.0
Alavieska,61,42.0
Alavieska,62,32.0
Alavieska,63,35.0
Alavieska,64,31.0
Alavieska,65,37.0
Alavieska,66,39.0
Alavieska,67,40.0
Alavieska,68,35.0
Alavieska,69,33.0
Alavieska,70,38.0
Alavieska,71,29.0
Alavieska,72,31.0
Alavieska,73,26.0
Alavieska,74,35.0
Alavieska,75,34.0
Alavieska,76,26.0
Alavieska,77,26.0
Alavieska,78,22.0
Alavieska,79,17.0
Alavieska,80,16.0
Alavieska,81,11.0
Alavieska,82,19.0
Alavieska,83,13.0
Alavieska,84,20.0
Alavieska,85,10.0
Alavieska,86,13.0
Alavieska,87,14.0
Alavieska,88,15.0
Alavieska,89,10.0
Alavieska,90,12.0
Alavieska,91,9.0
Alavieska,92,6.0
Alavieska,93,3.0
Alavieska,94,6.0
Alavieska,95,4.0
Alavieska,96,1.0
Alavieska,97,1.0
Alavieska,98,0.0
Alavieska,99,1.0
Alavieska,100 -,2.0
Alavus,Total,10634.0
Alavus,0,77.0
Alavus,1,73.0
Alavus,2,69.0
Alavus,3,85.0
Alavus,4,104.0
Alavus,5,111.0
Alavus,6,105.0
Alavus,7,99.0
Alavus,8,127.0
Alavus,9,122.0
Alavus,10,112.0
Alavus,11,148.0
Alavus,12,114.0
Alavus,13,140.0
Alavus,14,124.0
Alavus,15,144.0
Alavus,16,121.0
Alavus,17,135.0
Alavus,18,118.0
Alavus,19,123.0
Alavus,20,116.0
Alavus,21,71.0
Alavus,22,80.0
Alavus,23,65.0
Alavus,24,80.0
Alavus,25,71.0
Alavus,26,74.0
Alavus,27,77.0
Alavus,28,71.0
Alavus,29,85.0
Alavus,30,100.0
Alavus,31,97.0
Alavus,32,98.0
Alavus,33,94.0
Alavus,34,101.0
Alavus,35,97.0
Alavus,36,100.0
Alavus,37,90.0
Alavus,38,122.0
Alavus,39,114.0
Alavus,40,120.0
Alavus,41,136.0
Alavus,42,119.0
Alavus,43,125.0
Alavus,44,119.0
Alavus,45,117.0
Alavus,46,109.0
Alavus,47,87.0
Alavus,48,118.0
Alavus,49,126.0
Alavus,50,130.0
Alavus,51,122.0
Alavus,52,101.0
Alavus,53,107.0
Alavus,54,139.0
Alavus,55,151.0
Alavus,56,144.0
Alavus,57,117.0
Alavus,58,146.0
Alavus,59,161.0
Alavus,60,142.0
Alavus,61,180.0
Alavus,62,165.0
Alavus,63,123.0
Alavus,64,174.0
Alavus,65,136.0
Alavus,66,164.0
Alavus,67,127.0
Alavus,68,160.0
Alavus,69,193.0
Alavus,70,182.0
Alavus,71,196.0
Alavus,72,130.0
Alavus,73,175.0
Alavus,74,165.0
Alavus,75,148.0
Alavus,76,185.0
Alavus,77,144.0
Alavus,78,138.0
Alavus,79,149.0
Alavus,80,121.0
Alavus,81,89.0
Alavus,82,98.0
Alavus,83,59.0
Alavus,84,112.0
Alavus,85,51.0
Alavus,86,57.0
Alavus,87,53.0
Alavus,88,62.0
Alavus,89,45.0
Alavus,90,38.0
Alavus,91,33.0
Alavus,92,21.0
Alavus,93,22.0
Alavus,94,12.0
Alavus,95,13.0
Alavus,96,10.0
Alavus,97,2.0
Alavus,98,4.0
Alavus,99,6.0
Alavus,100 -,2.0
Asikkala,Total,7841.0
Asikkala,0,28.0
Asikkala,1,34.0
Asikkala,2,56.0
Asikkala,3,45.0
Asikkala,4,62.0
Asikkala,5,61.0
Asikkala,6,46.0
Asikkala,7,71.0
Asikkala,8,67.0
Asikkala,9,66.0
Asikkala,10,76.0
Asikkala,11,70.0
Asikkala,12,85.0
Asikkala,13,80.0
Asikkala,14,80.0
Asikkala,15,77.0
Asikkala,16,115.0
Asikkala,17,104.0
Asikkala,18,93.0
Asikkala,19,67.0
Asikkala,20,44.0
Asikkala,21,42.0
Asikkala,22,26.0
Asikkala,23,26.0
Asikkala,24,35.0
Asikkala,25,40.0
Asikkala,26,39.0
Asikkala,27,44.0
Asikkala,28,46.0
Asikkala,29,45.0
Asikkala,30,55.0
Asikkala,31,57.0
Asikkala,32,69.0
Asikkala,33,55.0
Asikkala,34,60.0
Asikkala,35,68.0
Asikkala,36,75.0
Asikkala,37,62.0
Asikkala,38,76.0
Asikkala,39,89.0
Asikkala,40,99.0
Asikkala,41,70.0
Asikkala,42,84.0
Asikkala,43,108.0
Asikkala,44,97.0
Asikkala,45,99.0
Asikkala,46,91.0
Asikkala,47,103.0
Asikkala,48,101.0
Asikkala,49,114.0
Asikkala,50,85.0
Asikkala,51,88.0
Asikkala,52,104.0
Asikkala,53,89.0
Asikkala,54,99.0
Asikkala,55,106.0
Asikkala,56,101.0
Asikkala,57,112.0
Asikkala,58,126.0
Asikkala,59,102.0
Asikkala,60,101.0
Asikkala,61,138.0
Asikkala,62,133.0
Asikkala,63,127.0
Asikkala,64,107.0
Asikkala,65,102.0
Asikkala,66,127.0
Asikkala,67,124.0
Asikkala,68,138.0
Asikkala,69,123.0
Asikkala,70,160.0
Asikkala,71,130.0
Asikkala,72,137.0
Asikkala,73,148.0
Asikkala,74,147.0
Asikkala,75,173.0
Asikkala,76,131.0
Asikkala,77,118.0
Asikkala,78,159.0
Asikkala,79,136.0
Asikkala,80,114.0
Asikkala,81,75.0
Asikkala,82,76.0
Asikkala,83,56.0
Asikkala,84,92.0
Asikkala,85,47.0
Asikkala,86,60.0
Asikkala,87,57.0
Asikkala,88,45.0
Asikkala,89,24.0
Asikkala,90,36.0
Asikkala,91,20.0
Asikkala,92,16.0
Asikkala,93,12.0
Asikkala,94,19.0
Asikkala,95,4.0
Asikkala,96,5.0
Asikkala,97,2.0
Asikkala,98,6.0
Asikkala,99,1.0
Asikkala,100 -,1.0
Askola,Total,4677.0
Askola,0,51.0
Askola,1,34.0
Askola,2,30.0
Askola,3,32.0
Askola,4,42.0
Askola,5,38.0
Askola,6,41.0
Askola,7,50.0
Askola,8,45.0
Askola,9,57.0
Askola,10,66.0
Askola,11,67.0
Askola,12,67.0
Askola,13,65.0
Askola,14,63.0
Askola,15,78.0
Askola,16,74.0
Askola,17,61.0
Askola,18,58.0
Askola,19,44.0
Askola,20,33.0
Askola,21,34.0
Askola,22,35.0
Askola,23,21.0
Askola,24,30.0
Askola,25,36.0
Askola,26,21.0
Askola,27,29.0
Askola,28,41.0
Askola,29,40.0
Askola,30,59.0
Askola,31,43.0
Askola,32,49.0
Askola,33,63.0
Askola,34,59.0
Askola,35,50.0
Askola,36,69.0
Askola,37,55.0
Askola,38,52.0
Askola,39,44.0
Askola,40,62.0
Askola,41,64.0
Askola,42,56.0
Askola,43,61.0
Askola,44,71.0
Askola,45,50.0
Askola,46,62.0
Askola,47,74.0
Askola,48,81.0
Askola,49,70.0
Askola,50,63.0
Askola,51,71.0
Askola,52,54.0
Askola,53,49.0
Askola,54,61.0
Askola,55,68.0
Askola,56,58.0
Askola,57,91.0
Askola,58,81.0
Askola,59,66.0
Askola,60,72.0
Askola,61,66.0
Askola,62,63.0
Askola,63,65.0
Askola,64,80.0
Askola,65,62.0
Askola,66,68.0
Askola,67,65.0
Askola,68,62.0
Askola,69,57.0
Askola,70,51.0
Askola,71,50.0
Askola,72,48.0
Askola,73,61.0
Askola,74,51.0
Askola,75,63.0
Askola,76,53.0
Askola,77,59.0
Askola,78,38.0
Askola,79,44.0
Askola,80,43.0
Askola,81,28.0
Askola,82,25.0
Askola,83,18.0
Askola,84,31.0
Askola,85,11.0
Askola,86,22.0
Askola,87,20.0
Askola,88,12.0
Askola,89,17.0
Askola,90,8.0
Askola,91,5.0
Askola,92,3.0
Askola,93,3.0
Askola,94,2.0
Askola,95,1.0
Askola,96,2.0
Askola,97,1.0
Askola,98,7.0
Askola,99,1.0
Askola,100 -,0.0
Aura,Total,3937.0
Aura,0,37.0
Aura,1,34.0
Aura,2,28.0
Aura,3,47.0
Aura,4,42.0
Aura,5,49.0
Aura,6,46.0
Aura,7,42.0
Aura,8,41.0
Aura,9,41.0
Aura,10,63.0
Aura,11,44.0
Aura,12,45.0
Aura,13,50.0
Aura,14,58.0
Aura,15,67.0
Aura,16,36.0
Aura,17,49.0
Aura,18,55.0
Aura,19,35.0
Aura,20,36.0
Aura,21,32.0
Aura,22,32.0
Aura,23,16.0
Aura,24,34.0
Aura,25,31.0
Aura,26,33.0
Aura,27,37.0
Aura,28,21.0
Aura,29,49.0
Aura,30,39.0
Aura,31,44.0
Aura,32,58.0
Aura,33,40.0
Aura,34,45.0
Aura,35,40.0
Aura,36,46.0
Aura,37,56.0
Aura,38,47.0
Aura,39,59.0
Aura,40,46.0
Aura,41,56.0
Aura,42,66.0
Aura,43,60.0
Aura,44,49.0
Aura,45,53.0
Aura,46,51.0
Aura,47,64.0
Aura,48,61.0
Aura,49,38.0
Aura,50,76.0
Aura,51,47.0
Aura,52,44.0
Aura,53,48.0
Aura,54,56.0
Aura,55,58.0
Aura,56,44.0
Aura,57,57.0
Aura,58,45.0
Aura,59,49.0
Aura,60,44.0
Aura,61,48.0
Aura,62,61.0
Aura,63,47.0
Aura,64,41.0
Aura,65,44.0
Aura,66,44.0
Aura,67,53.0
Aura,68,50.0
Aura,69,53.0
Aura,70,62.0
Aura,71,41.0
Aura,72,47.0
Aura,73,52.0
Aura,74,48.0
Aura,75,46.0
Aura,76,42.0
Aura,77,35.0
Aura,78,45.0
Aura,79,49.0
Aura,80,28.0
Aura,81,31.0
Aura,82,25.0
Aura,83,21.0
Aura,84,21.0
Aura,85,21.0
Aura,86,17.0
Aura,87,8.0
Aura,88,6.0
Aura,89,10.0
Aura,90,8.0
Aura,91,5.0
Aura,92,2.0
Aura,93,5.0
Aura,94,1.0
Aura,95,3.0
Aura,96,0.0
Aura,97,1.0
Aura,98,0.0
Aura,99,0.0
Aura,100 -,0.0
Brändö,Total,430.0
Brändö,0,3.0
Brändö,1,1.0
Brändö,2,7.0
Brändö,3,1.0
Brändö,4,1.0
Brändö,5,3.0
Brändö,6,1.0
Brändö,7,2.0
Brändö,8,1.0
Brändö,9,0.0
Brändö,10,3.0
Brändö,11,6.0
Brändö,12,2.0
Brändö,13,4.0
Brändö,14,2.0
Brändö,15,2.0
Brändö,16,2.0
Brändö,17,3.0
Brändö,18,5.0
Brändö,19,4.0
Brändö,20,5.0
Brändö,21,2.0
Brändö,22,5.0
Brändö,23,1.0
Brändö,24,5.0
Brändö,25,2.0
Brändö,26,6.0
Brändö,27,5.0
Brändö,28,4.0
Brändö,29,4.0
Brändö,30,2.0
Brändö,31,3.0
Brändö,32,5.0
Brändö,33,5.0
Brändö,34,2.0
Brändö,35,3.0
Brändö,36,4.0
Brändö,37,1.0
Brändö,38,6.0
Brändö,39,1.0
Brändö,40,1.0
Brändö,41,6.0
Brändö,42,3.0
Brändö,43,2.0
Brändö,44,4.0
Brändö,45,6.0
Brändö,46,4.0
Brändö,47,4.0
Brändö,48,4.0
Brändö,49,4.0
Brändö,50,2.0
Brändö,51,6.0
Brändö,52,4.0
Brändö,53,3.0
Brändö,54,11.0
Brändö,55,7.0
Brändö,56,4.0
Brändö,57,5.0
Brändö,58,12.0
Brändö,59,10.0
Brändö,60,6.0
Brändö,61,11.0
Brändö,62,4.0
Brändö,63,14.0
Brändö,64,8.0
Brändö,65,10.0
Brändö,66,12.0
Brändö,67,7.0
Brändö,68,10.0
Brändö,69,12.0
Brändö,70,7.0
Brändö,71,9.0
Brändö,72,9.0
Brändö,73,7.0
Brändö,74,7.0
Brändö,75,8.0
Brändö,76,3.0
Brändö,77,3.0
Brändö,78,5.0
Brändö,79,9.0
Brändö,80,11.0
Brändö,81,5.0
Brändö,82,4.0
Brändö,83,3.0
Brändö,84,3.0
Brändö,85,4.0
Brändö,86,3.0
Brändö,87,0.0
Brändö,88,1.0
Brändö,89,2.0
Brändö,90,3.0
Brändö,91,1.0
Brändö,92,2.0
Brändö,93,0.0
Brändö,94,0.0
Brändö,95,1.0
Brändö,96,0.0
Brändö,97,0.0
Brändö,98,0.0
Brändö,99,0.0
Brändö,100 -,0.0
Eckerö,Total,961.0
Eckerö,0,7.0
Eckerö,1,9.0
Eckerö,2,9.0
Eckerö,3,5.0
Eckerö,4,9.0
Eckerö,5,11.0
Eckerö,6,8.0
Eckerö,7,7.0
Eckerö,8,13.0
Eckerö,9,12.0
Eckerö,10,8.0
Eckerö,11,9.0
Eckerö,12,5.0
Eckerö,13,14.0
Eckerö,14,11.0
Eckerö,15,7.0
Eckerö,16,5.0
Eckerö,17,11.0
Eckerö,18,8.0
Eckerö,19,10.0
Eckerö,20,5.0
Eckerö,21,5.0
Eckerö,22,3.0
Eckerö,23,5.0
Eckerö,24,7.0
Eckerö,25,7.0
Eckerö,26,4.0
Eckerö,27,5.0
Eckerö,28,3.0
Eckerö,29,11.0
Eckerö,30,5.0
Eckerö,31,12.0
Eckerö,32,7.0
Eckerö,33,15.0
Eckerö,34,14.0
Eckerö,35,15.0
Eckerö,36,11.0
Eckerö,37,16.0
Eckerö,38,12.0
Eckerö,39,12.0
Eckerö,40,18.0
Eckerö,41,11.0
Eckerö,42,12.0
Eckerö,43,7.0
Eckerö,44,15.0
Eckerö,45,8.0
Eckerö,46,12.0
Eckerö,47,7.0
Eckerö,48,11.0
Eckerö,49,14.0
Eckerö,50,14.0
Eckerö,51,9.0
Eckerö,52,9.0
Eckerö,53,11.0
Eckerö,54,17.0
Eckerö,55,7.0
Eckerö,56,16.0
Eckerö,57,16.0
Eckerö,58,14.0
Eckerö,59,11.0
Eckerö,60,18.0
Eckerö,61,22.0
Eckerö,62,16.0
Eckerö,63,12.0
Eckerö,64,13.0
Eckerö,65,13.0
Eckerö,66,21.0
Eckerö,67,17.0
Eckerö,68,16.0
Eckerö,69,17.0
Eckerö,70,13.0
Eckerö,71,20.0
Eckerö,72,9.0
Eckerö,73,12.0
Eckerö,74,16.0
Eckerö,75,10.0
Eckerö,76,19.0
Eckerö,77,11.0
Eckerö,78,16.0
Eckerö,79,8.0
Eckerö,80,9.0
Eckerö,81,8.0
Eckerö,82,6.0
Eckerö,83,7.0
Eckerö,84,8.0
Eckerö,85,6.0
Eckerö,86,5.0
Eckerö,87,3.0
Eckerö,88,9.0
Eckerö,89,2.0
Eckerö,90,1.0
Eckerö,91,2.0
Eckerö,92,0.0
Eckerö,93,0.0
Eckerö,94,3.0
Eckerö,95,1.0
Eckerö,96,0.0
Eckerö,97,0.0
Eckerö,98,0.0
Eckerö,99,0.0
Eckerö,100 -,1.0
Enonkoski,Total,1273.0
Enonkoski,0,7.0
Enonkoski,1,7.0
Enonkoski,2,8.0
Enonkoski,3,10.0
Enonkoski,4,13.0
Enonkoski,5,9.0
Enonkoski,6,8.0
Enonkoski,7,6.0
Enonkoski,8,8.0
Enonkoski,9,10.0
Enonkoski,10,11.0
Enonkoski,11,10.0
Enonkoski,12,15.0
Enonkoski,13,13.0
Enonkoski,14,15.0
Enonkoski,15,19.0
Enonkoski,16,9.0
Enonkoski,17,8.0
Enonkoski,18,4.0
Enonkoski,19,7.0
Enonkoski,20,2.0
Enonkoski,21,1.0
Enonkoski,22,3.0
Enonkoski,23,4.0
Enonkoski,24,4.0
Enonkoski,25,7.0
Enonkoski,26,8.0
Enonkoski,27,4.0
Enonkoski,28,4.0
Enonkoski,29,5.0
Enonkoski,30,11.0
Enonkoski,31,9.0
Enonkoski,32,8.0
Enonkoski,33,8.0
Enonkoski,34,14.0
Enonkoski,35,16.0
Enonkoski,36,8.0
Enonkoski,37,11.0
Enonkoski,38,9.0
Enonkoski,39,5.0
Enonkoski,40,12.0
Enonkoski,41,18.0
Enonkoski,42,12.0
Enonkoski,43,10.0
Enonkoski,44,15.0
Enonkoski,45,21.0
Enonkoski,46,13.0
Enonkoski,47,13.0
Enonkoski,48,16.0
Enonkoski,49,15.0
Enonkoski,50,9.0
Enonkoski,51,16.0
Enonkoski,52,6.0
Enonkoski,53,13.0
Enonkoski,54,5.0
Enonkoski,55,25.0
Enonkoski,56,12.0
Enonkoski,57,13.0
Enonkoski,58,29.0
Enonkoski,59,18.0
Enonkoski,60,30.0
Enonkoski,61,24.0
Enonkoski,62,24.0
Enonkoski,63,27.0
Enonkoski,64,25.0
Enonkoski,65,21.0
Enonkoski,66,23.0
Enonkoski,67,18.0
Enonkoski,68,24.0
Enonkoski,69,23.0
Enonkoski,70,25.0
Enonkoski,71,17.0
Enonkoski,72,19.0
Enonkoski,73,30.0
Enonkoski,74,27.0
Enonkoski,75,24.0
Enonkoski,76,35.0
Enonkoski,77,22.0
Enonkoski,78,30.0
Enonkoski,79,23.0
Enonkoski,80,22.0
Enonkoski,81,21.0
Enonkoski,82,12.0
Enonkoski,83,12.0
Enonkoski,84,19.0
Enonkoski,85,7.0
Enonkoski,86,11.0
Enonkoski,87,8.0
Enonkoski,88,9.0
Enonkoski,89,3.0
Enonkoski,90,8.0
Enonkoski,91,4.0
Enonkoski,92,3.0
Enonkoski,93,6.0
Enonkoski,94,2.0
Enonkoski,95,1.0
Enonkoski,96,2.0
Enonkoski,97,2.0
Enonkoski,98,1.0
Enonkoski,99,0.0
Enonkoski,100 -,0.0
Enontekiö,Total,1769.0
Enontekiö,0,13.0
Enontekiö,1,7.0
Enontekiö,2,12.0
Enontekiö,3,12.0
Enontekiö,4,8.0
Enontekiö,5,9.0
Enontekiö,6,9.0
Enontekiö,7,7.0
Enontekiö,8,10.0
Enontekiö,9,13.0
Enontekiö,10,9.0
Enontekiö,11,11.0
Enontekiö,12,18.0
Enontekiö,13,21.0
Enontekiö,14,21.0
Enontekiö,15,22.0
Enontekiö,16,21.0
Enontekiö,17,14.0
Enontekiö,18,13.0
Enontekiö,19,13.0
Enontekiö,20,13.0
Enontekiö,21,11.0
Enontekiö,22,7.0
Enontekiö,23,9.0
Enontekiö,24,11.0
Enontekiö,25,11.0
Enontekiö,26,9.0
Enontekiö,27,22.0
Enontekiö,28,12.0
Enontekiö,29,16.0
Enontekiö,30,12.0
Enontekiö,31,17.0
Enontekiö,32,19.0
Enontekiö,33,15.0
Enontekiö,34,24.0
Enontekiö,35,22.0
Enontekiö,36,20.0
Enontekiö,37,28.0
Enontekiö,38,23.0
Enontekiö,39,17.0
Enontekiö,40,16.0
Enontekiö,41,23.0
Enontekiö,42,32.0
Enontekiö,43,26.0
Enontekiö,44,23.0
Enontekiö,45,24.0
Enontekiö,46,15.0
Enontekiö,47,20.0
Enontekiö,48,29.0
Enontekiö,49,22.0
Enontekiö,50,24.0
Enontekiö,51,19.0
Enontekiö,52,20.0
Enontekiö,53,25.0
Enontekiö,54,23.0
Enontekiö,55,32.0
Enontekiö,56,18.0
Enontekiö,57,31.0
Enontekiö,58,32.0
Enontekiö,59,22.0
Enontekiö,60,28.0
Enontekiö,61,25.0
Enontekiö,62,36.0
Enontekiö,63,36.0
Enontekiö,64,27.0
Enontekiö,65,24.0
Enontekiö,66,35.0
Enontekiö,67,29.0
Enontekiö,68,32.0
Enontekiö,69,40.0
Enontekiö,70,35.0
Enontekiö,71,33.0
Enontekiö,72,33.0
Enontekiö,73,36.0
Enontekiö,74,30.0
Enontekiö,75,31.0
Enontekiö,76,33.0
Enontekiö,77,27.0
Enontekiö,78,22.0
Enontekiö,79,17.0
Enontekiö,80,11.0
Enontekiö,81,17.0
Enontekiö,82,13.0
Enontekiö,83,10.0
Enontekiö,84,10.0
Enontekiö,85,4.0
Enontekiö,86,11.0
Enontekiö,87,7.0
Enontekiö,88,3.0
Enontekiö,89,4.0
Enontekiö,90,3.0
Enontekiö,91,2.0
Enontekiö,92,3.0
Enontekiö,93,1.0
Enontekiö,94,3.0
Enontekiö,95,0.0
Enontekiö,96,1.0
Enontekiö,97,0.0
Enontekiö,98,0.0
Enontekiö,99,0.0
Enontekiö,100 -,0.0
Espoo,Total,325716.0
Espoo,0,3467.0
Espoo,1,3518.0
Espoo,2,3410.0
Espoo,3,3415.0
Espoo,4,3740.0
Espoo,5,3420.0
Espoo,6,3447.0
Espoo,7,3557.0
Espoo,8,3726.0
Espoo,9,3808.0
Espoo,10,3886.0
Espoo,11,4108.0
Espoo,12,4188.0
Espoo,13,4122.0
Espoo,14,4207.0
Espoo,15,4230.0
Espoo,16,3995.0
Espoo,17,4064.0
Espoo,18,4164.0
Espoo,19,4377.0
Espoo,20,4074.0
Espoo,21,3909.0
Espoo,22,3728.0
Espoo,23,3701.0
Espoo,24,3881.0
Espoo,25,4187.0
Espoo,26,4305.0
Espoo,27,4504.0
Espoo,28,4598.0
Espoo,29,4918.0
Espoo,30,5189.0
Espoo,31,5416.0
Espoo,32,5425.0
Espoo,33,5760.0
Espoo,34,5528.0
Espoo,35,5626.0
Espoo,36,5494.0
Espoo,37,5593.0
Espoo,38,5255.0
Espoo,39,5181.0
Espoo,40,4952.0
Espoo,41,5165.0
Espoo,42,5024.0
Espoo,43,5108.0
Espoo,44,4841.0
Espoo,45,4854.0
Espoo,46,4794.0
Espoo,47,4441.0
Espoo,48,4527.0
Espoo,49,4525.0
Espoo,50,4413.0
Espoo,51,3929.0
Espoo,52,3718.0
Espoo,53,3649.0
Espoo,54,3731.0
Espoo,55,3592.0
Espoo,56,3538.0
Espoo,57,3746.0
Espoo,58,3762.0
Espoo,59,3659.0
Espoo,60,3461.0
Espoo,61,3503.0
Espoo,62,3307.0
Espoo,63,3183.0
Espoo,64,3181.0
Espoo,65,2927.0
Espoo,66,2684.0
Espoo,67,2636.0
Espoo,68,2612.0
Espoo,69,2480.0
Espoo,70,2535.0
Espoo,71,2380.0
