Area,Sex,value
Jämsä,Females,9445.0
Järvenpää,Males,22857.0
Järvenpää,Females,24087.0
Kaarina,Males,17959.0
Kaarina,Females,18716.0
Kaavi,Males,1304.0
Kaavi,Females,1243.0
Kajaani,Males,18322.0
Kajaani,Females,18048.0
Kalajoki,Males,6108.0
Kalajoki,Females,6047.0
Kangasala,Males,17003.0
Kangasala,Females,17376.0
Kangasniemi,Males,2479.0
Kangasniemi,Females,2473.0
Kankaanpää,Males,6211.0
Kankaanpää,Females,6297.0
Kannonkoski,Males,603.0
Kannonkoski,Females,534.0
Kannus,Males,2595.0
Kannus,Females,2651.0
Karijoki,Males,593.0
Karijoki,Females,541.0
Karkkila,Males,4132.0
Karkkila,Females,4142.0
Karstula,Males,1754.0
Karstula,Females,1760.0
Karvia,Males,1105.0
Karvia,Females,1028.0
Kaskinen,Males,620.0
Kaskinen,Females,628.0
Kauhajoki,Males,6245.0
Kauhajoki,Females,6184.0
Kauhava,Males,7561.0
Kauhava,Females,7348.0
Kauniainen,Males,4972.0
Kauniainen,Females,5346.0
Kaustinen,Males,2030.0
Kaustinen,Females,2044.0
Keitele,Males,988.0
Keitele,Females,934.0
Kemi,Males,9636.0
Kemi,Females,9703.0
Kemijärvi,Males,3459.0
Kemijärvi,Females,3460.0
Keminmaa,Males,3832.0
Keminmaa,Females,3744.0
Kimitoön,Males,3177.0
Kimitoön,Females,3163.0
Kempele,Males,9761.0
Kempele,Females,9941.0
Kerava,Males,19195.0
Kerava,Females,19572.0
Keuruu,Males,4456.0
Keuruu,Females,4558.0
Kihniö,Males,861.0
Kihniö,Females,809.0
Kinnula,Males,772.0
Kinnula,Females,700.0
Kirkkonummi,Males,20838.0
Kirkkonummi,Females,20887.0
Kitee,Males,4709.0
Kitee,Females,4688.0
Kittilä,Males,3466.0
Kittilä,Females,3507.0
Kiuruvesi,Males,3676.0
Kiuruvesi,Females,3579.0
Kivijärvi,Males,532.0
Kivijärvi,Females,469.0
Kokemäki,Males,3335.0
Kokemäki,Females,3248.0
Kokkola,Males,24049.0
Kokkola,Females,24289.0
Kolari,Males,2040.0
Kolari,Females,1961.0
Konnevesi,Males,1212.0
Konnevesi,Females,1192.0
Kontiolahti,Males,7680.0
Kontiolahti,Females,7380.0
Korsnäs,Males,1035.0
Korsnäs,Females,949.0
Koski Tl,Males,1069.0
Koski Tl,Females,1075.0
Kotka,Males,24736.0
Kotka,Females,25293.0
Kouvola,Males,38397.0
Kouvola,Females,39228.0
Kristinestad,Males,3082.0
Kristinestad,Females,3031.0
Kronoby,Males,3192.0
Kronoby,Females,3076.0
Kuhmo,Males,3774.0
Kuhmo,Females,3526.0
Kuhmoinen,Males,957.0
Kuhmoinen,Females,1022.0
Kumlinge,Males,147.0
Kumlinge,Females,124.0
Kuopio,Males,61545.0
Kuopio,Females,65027.0
Kuortane,Males,1693.0
Kuortane,Females,1613.0
Kurikka,Males,9747.0
Kurikka,Females,9694.0
Kustavi,Males,502.0
Kustavi,Females,470.0
Kuusamo,Males,7475.0
Kuusamo,Females,7325.0
Kyyjärvi,Males,570.0
Kyyjärvi,Females,559.0
Kärkölä,Males,2060.0
Kärkölä,Females,1992.0
Kärsämäki,Males,1242.0
Kärsämäki,Females,1082.0
Kökar,Males,116.0
Kökar,Females,95.0
Lahti,Males,59080.0
Lahti,Females,62752.0
Laihia,Males,3787.0
Laihia,Females,3747.0
Laitila,Males,4205.0
Laitila,Females,4195.0
Lapinjärvi,Males,1234.0
Lapinjärvi,Females,1196.0
Lapinlahti,Males,4451.0
Lapinlahti,Females,4352.0
Lappajärvi,Males,1382.0
Lappajärvi,Females,1322.0
Lappeenranta,Males,36849.0
Lappeenranta,Females,36392.0
Lapua,Males,6886.0
Lapua,Females,7041.0
Laukaa,Males,9477.0
Laukaa,Females,9331.0
Lemi,Males,1487.0
Lemi,Females,1391.0
Lemland,Males,1074.0
Lemland,Females,1065.0
Lempäälä,Males,12464.0
Lempäälä,Females,12577.0
Leppävirta,Males,4494.0
Leppävirta,Females,4430.0
Lestijärvi,Males,348.0
Lestijärvi,Females,308.0
Lieksa,Males,5066.0
Lieksa,Females,4780.0
Lieto,Males,10324.0
Lieto,Females,10408.0
Liminka,Males,5149.0
Liminka,Females,4967.0
Liperi,Males,6099.0
Liperi,Females,5881.0
Lohja,Males,22417.0
Lohja,Females,23018.0
Loimaa,Males,7588.0
Loimaa,Females,7536.0
Loppi,Males,3909.0
Loppi,Females,3665.0
Loviisa,Males,7171.0
Loviisa,Females,7025.0
Luhanka,Males,385.0
Luhanka,Females,310.0
Lumijoki,Males,1062.0
Lumijoki,Females,956.0
Lumparland,Males,187.0
Lumparland,Females,184.0
Larsmo,Males,3042.0
Larsmo,Females,2913.0
Luumäki,Males,2193.0
Luumäki,Females,2111.0
Malax,Males,2754.0
Malax,Females,2638.0
Mariehamn,Males,5699.0
Mariehamn,Females,6258.0
Marttila,Males,958.0
Marttila,Females,932.0
Masku,Males,4897.0
Masku,Females,4715.0
Merijärvi,Males,564.0
Merijärvi,Females,467.0
Merikarvia,Males,1404.0
Merikarvia,Females,1430.0
Miehikkälä,Males,889.0
Miehikkälä,Females,775.0
Mikkeli,Males,25222.0
Mikkeli,Females,26329.0
Muhos,Males,4473.0
Muhos,Females,4294.0
Multia,Males,729.0
Multia,Females,657.0
Muonio,Males,1155.0
Muonio,Females,1168.0
Korsholm,Males,9915.0
Korsholm,Females,9877.0
Muurame,Males,5364.0
Muurame,Females,5282.0
Mynämäki,Males,3722.0
Mynämäki,Females,3702.0
Myrskylä,Males,838.0
Myrskylä,Females,854.0
Mäntsälä,Males,10430.0
Mäntsälä,Females,10431.0
Mänttä-Vilppula,Males,4557.0
Mänttä-Vilppula,Females,4552.0
Mäntyharju,Males,3564.0
Mäntyharju,Females,3470.0
Naantali,Males,9909.0
Naantali,Females,10481.0
Nakkila,Males,2436.0
Nakkila,Females,2454.0
Nivala,Males,5289.0
Nivala,Females,5011.0
Nokia,Males,18191.0
Nokia,Females,18380.0
Nousiainen,Males,2394.0
Nousiainen,Females,2273.0
Nurmes,Males,4423.0
Nurmes,Females,4337.0
Nurmijärvi,Males,22883.0
Nurmijärvi,Females,22450.0
Närpes,Males,4886.0
Närpes,Females,4652.0
Orimattila,Males,7810.0
Orimattila,Females,7765.0
Oripää,Males,657.0
Oripää,Females,607.0
Orivesi,Males,4355.0
Orivesi,Females,4503.0
Oulainen,Males,3400.0
Oulainen,Females,3432.0
Oulu,Males,108842.0
Oulu,Females,108627.0
Outokumpu,Males,3207.0
Outokumpu,Females,3158.0
Padasjoki,Males,1363.0
Padasjoki,Females,1293.0
Paimio,Males,5600.0
Paimio,Females,5684.0
Paltamo,Males,1508.0
Paltamo,Females,1433.0
Pargas,Males,7378.0
Pargas,Females,7334.0
Parikkala,Males,2152.0
Parikkala,Females,2083.0
Parkano,Males,3083.0
Parkano,Females,2928.0
Pedersöre,Males,5859.0
Pedersöre,Females,5430.0
Pelkosenniemi,Males,484.0
Pelkosenniemi,Females,448.0
Pello,Males,1608.0
Pello,Females,1538.0
Perho,Males,1304.0
Perho,Females,1243.0
Petäjävesi,Males,1803.0
Petäjävesi,Females,1708.0
Pieksämäki,Males,8385.0
Pieksämäki,Females,8739.0
Pielavesi,Males,2012.0
Pielavesi,Females,1861.0
Jakobstad,Males,9835.0
Jakobstad,Females,9822.0
Pihtipudas,Males,1838.0
Pihtipudas,Females,1838.0
Pirkkala,Males,10651.0
Pirkkala,Females,10722.0
Polvijärvi,Males,2020.0
Polvijärvi,Females,1922.0
Pomarkku,Males,990.0
Pomarkku,Females,903.0
Pori,Males,40618.0
Pori,Females,42392.0
Pornainen,Males,2554.0
Pornainen,Females,2365.0
Porvoo,Males,25478.0
Porvoo,Females,26385.0
Posio,Males,1469.0
Posio,Females,1357.0
Pudasjärvi,Males,3821.0
Pudasjärvi,Females,3347.0
Pukkila,Males,888.0
Pukkila,Females,832.0
Punkalaidun,Males,1312.0
Punkalaidun,Females,1234.0
Puolanka,Males,1201.0
Puolanka,Females,1121.0
Puumala,Males,1058.0
Puumala,Females,1023.0
Pyhtää,Males,2502.0
Pyhtää,Females,2514.0
Pyhäjoki,Males,1531.0
Pyhäjoki,Females,1407.0
Pyhäjärvi,Males,2290.0
Pyhäjärvi,Females,2261.0
Pyhäntä,Males,889.0
Pyhäntä,Females,789.0
Pyhäranta,Males,1005.0
Pyhäranta,Females,887.0
Pälkäne,Males,3125.0
Pälkäne,Females,3021.0
Pöytyä,Males,4081.0
Pöytyä,Females,3822.0
Raahe,Males,11903.0
Raahe,Females,11510.0
Raseborg,Males,13277.0
Raseborg,Females,13579.0
Raisio,Males,13088.0
Raisio,Females,12948.0
Rantasalmi,Males,1630.0
Rantasalmi,Females,1589.0
Ranua,Males,1860.0
Ranua,Females,1670.0
Rauma,Males,19539.0
Rauma,Females,19234.0
Rautalampi,Males,1471.0
Rautalampi,Females,1457.0
Rautavaara,Males,747.0
Rautavaara,Females,651.0
Rautjärvi,Males,1474.0
Rautjärvi,Females,1414.0
Reisjärvi,Males,1268.0
Reisjärvi,Females,1208.0
Riihimäki,Males,14252.0
Riihimäki,Females,14303.0
Ristijärvi,Males,587.0
Ristijärvi,Females,571.0
Rovaniemi,Males,32257.0
Rovaniemi,Females,33934.0
Ruokolahti,Males,2332.0
Ruokolahti,Females,2347.0
Ruovesi,Males,1973.0
Ruovesi,Females,2022.0
Rusko,Males,3185.0
Rusko,Females,3196.0
Rääkkylä,Males,969.0
Rääkkylä,Females,861.0
Saarijärvi,Males,4376.0
Saarijärvi,Females,4387.0
Salla,Males,1716.0
Salla,Females,1515.0
Salo,Males,24862.0
Salo,Females,25477.0
Saltvik,Males,897.0
Saltvik,Females,905.0
Sastamala,Males,11692.0
Sastamala,Females,11640.0
Sauvo,Males,1493.0
Sauvo,Females,1464.0
Savitaipale,Males,1562.0
Savitaipale,Females,1532.0
Savonlinna,Males,15196.0
Savonlinna,Females,15812.0
Savukoski,Males,541.0
Savukoski,Females,433.0
Seinäjoki,Males,32962.0
Seinäjoki,Females,34321.0
Sievi,Males,2447.0
Sievi,Females,2138.0
Siikainen,Males,651.0
Siikainen,Females,578.0
Siikajoki,Males,2506.0
Siikajoki,Females,2217.0
Siikalatva,Males,2577.0
Siikalatva,Females,2284.0
Siilinjärvi,Males,10523.0
Siilinjärvi,Females,10825.0
Simo,Males,1378.0
Simo,Females,1323.0
Sipoo,Males,11594.0
Sipoo,Females,11412.0
Siuntio,Males,3163.0
Siuntio,Females,3029.0
Sodankylä,Males,4206.0
Sodankylä,Females,3889.0
Soini,Males,911.0
Soini,Females,861.0
Somero,Males,4160.0
Somero,Females,4179.0
Sonkajärvi,Males,1856.0
Sonkajärvi,Females,1665.0
Sotkamo,Males,5116.0
Sotkamo,Females,5045.0
Sottunga,Males,58.0
Sottunga,Females,43.0
Sulkava,Males,1150.0
Sulkava,Females,1160.0
Sund,Males,501.0
Sund,Females,517.0
Suomussalmi,Males,3581.0
Suomussalmi,Females,3376.0
Suonenjoki,Males,3264.0
Suonenjoki,Females,3285.0
Sysmä,Males,1673.0
Sysmä,Females,1694.0
Säkylä,Males,3105.0
Säkylä,Females,3116.0
Taipalsaari,Males,2331.0
Taipalsaari,Females,2243.0
Taivalkoski,Males,1888.0
Taivalkoski,Females,1667.0
Taivassalo,Males,879.0
Taivassalo,Females,828.0
Tammela,Males,2949.0
Tammela,Females,2828.0
Tampere,Males,127893.0
Tampere,Females,135444.0
Tervo,Males,711.0
Tervo,Females,677.0
Tervola,Males,1471.0
Tervola,Females,1366.0
Teuva,Males,2346.0
Teuva,Females,2228.0
Tohmajärvi,Males,2012.0
Tohmajärvi,Females,1857.0
Toholampi,Males,1424.0
Toholampi,Females,1326.0
Toivakka,Males,1222.0
Toivakka,Females,1085.0
Tornio,Males,10619.0
Tornio,Females,10204.0
Turku,Males,101206.0
Turku,Females,108427.0
Tuusniemi,Males,1150.0
Tuusniemi,Females,1120.0
Tuusula,Males,21293.0
Tuusula,Females,21186.0
Tyrnävä,Males,3341.0
Tyrnävä,Females,3129.0
Ulvila,Males,6130.0
Ulvila,Females,6209.0
Urjala,Males,2232.0
Urjala,Females,2208.0
Utajärvi,Males,1248.0
Utajärvi,Females,1151.0
Utsjoki,Males,582.0
Utsjoki,Females,530.0
Uurainen,Males,1905.0
Uurainen,Females,1746.0
Nykarleby,Males,3793.0
Nykarleby,Females,3598.0
Uusikaupunki,Males,7499.0
Uusikaupunki,Females,7284.0
Vaala,Males,1322.0
Vaala,Females,1222.0
Vaasa,Males,36173.0
Vaasa,Females,35036.0
Valkeakoski,Males,10357.0
Valkeakoski,Females,10405.0
Vantaa,Males,127802.0
Vantaa,Females,125154.0
Varkaus,Males,9651.0
Varkaus,Females,9782.0
Vehmaa,Males,1160.0
Vehmaa,Females,1103.0
Vesanto,Males,917.0
Vesanto,Females,870.0
Vesilahti,Males,2330.0
Vesilahti,Females,2202.0
Veteli,Males,1496.0
Veteli,Females,1416.0
Vieremä,Males,1702.0
Vieremä,Females,1593.0
Vihti,Males,14401.0
Vihti,Females,14451.0
Viitasaari,Males,2810.0
Viitasaari,Females,2885.0
Vimpeli,Males,1311.0
Vimpeli,Females,1243.0
Virolahti,Males,1413.0
Virolahti,Females,1338.0
Virrat,Males,3095.0
Virrat,Females,3031.0
Vårdö,Males,242.0
Vårdö,Females,223.0
Vörå,Males,3149.0
Vörå,Females,3036.0
Ylitornio,Males,1894.0
Ylitornio,Females,1779.0
Ylivieska,Males,7642.0
Ylivieska,Females,7632.0
Ylöjärvi,Males,16786.0
Ylöjärvi,Females,16872.0
Ypäjä,Males,1109.0
Ypäjä,Females,1077.0
Ähtäri,Males,2609.0
Ähtäri,Females,2512.0
Äänekoski,Males,8841.0
Äänekoski,Females,8651.0
